nodename,peernodename,mapping_name
G09_Brikama Medina_3,G_Brikama Medina@Brikama Medina,cell_site
G09_Busumbala Central_1,G_Busumbala Central@Busumbala Central,cell_site
G09_Busumbala Central_2,G_Busumbala Central@Busumbala Central,cell_site
G09_Busumbala Central_3,G_Busumbala Central@Busumbala Central,cell_site
G09_Ebo Town_3,G_Ebo Town@Ebo Town,cell_site
G09_Brikama Cow_1,G_Brikama Cow@Brikama Cow,cell_site
G09_Brikama Cow_2,G_Brikama Cow@Brikama Cow,cell_site
G09_Brikama Newtown_1,G_Brikama Newtown@Brikama Newtown,cell_site
G09_Brikama Newtown_2,G_Brikama Newtown@Brikama Newtown,cell_site
G09_Brikama Newtown_3,G_Brikama Newtown@Brikama Newtown,cell_site
G09_Farato_1,G_Farato@Farato,cell_site
G09_Farato_2,G_Farato@Farato,cell_site
G09_Farato_3,G_Farato@Farato,cell_site
G09_Jambajelli_1,G_Jambajelli@Jambajelli,cell_site
G09_Jambajelli_2,G_Jambajelli@Jambajelli,cell_site
G09_Jambajelli_3,G_Jambajelli@Jambajelli,cell_site
G09_Sk Primary School_1,G_Sk Primary School@Sk Primary School,cell_site
G09_Sk Primary School_2,G_Sk Primary School@Sk Primary School,cell_site
G09_Sk Primary School_3,G_Sk Primary School@Sk Primary School,cell_site
G09_Lamin 2_1,G_Lamin 2@Lamin 2,cell_site
G09_Lamin 2_2,G_Lamin 2@Lamin 2,cell_site
G09_Lamin 2_3,G_Lamin 2@Lamin 2,cell_site
G09_Banjul Hope Street_1,G_Banjul Hope Street@Banjul Hope Street,cell_site
G09_Banjul Hope Street_2,G_Banjul Hope Street@Banjul Hope Street,cell_site
G09_Banjul Hope Street_3,G_Banjul Hope Street@Banjul Hope Street,cell_site
G09_Farato 2_1,G_Farato 2@Farato 2,cell_site
G09_Farato 2_2,G_Farato 2@Farato 2,cell_site
G09_Farato 2_3,G_Farato 2@Farato 2,cell_site
G09_Brikama Sanchaba_1,G_Brikama Sanchaba@Brikama Sanchaba,cell_site
G09_Brikama Sanchaba_2,G_Brikama Sanchaba@Brikama Sanchaba,cell_site
G09_Brikama Sanchaba_3,G_Brikama Sanchaba@Brikama Sanchaba,cell_site
G09_Brufut Medina_1,G_Brufut Medina@Brufut Medina,cell_site
G09_Brufut Medina_2,G_Brufut Medina@Brufut Medina,cell_site
G09_Brufut Medina_3,G_Brufut Medina@Brufut Medina,cell_site
G09_Kunkujang Keitaya_1,G_Kunkujang Keitaya@Kunkujang Keitaya,cell_site
G09_Kunkujang Keitaya_2,G_Kunkujang Keitaya@Kunkujang Keitaya,cell_site
G09_Kunkujang Keitaya_3,G_Kunkujang Keitaya@Kunkujang Keitaya,cell_site
G09_Lamin Babylon_1,G_Lamin Babylon@Lamin Babylon,cell_site
G09_Lamin Babylon_2,G_Lamin Babylon@Lamin Babylon,cell_site
G09_Lamin Babylon_3,G_Lamin Babylon@Lamin Babylon,cell_site
G09_LK Sabiji Market_1,G_LK Sabiji Market@LK Sabiji Market,cell_site
G09_LK Sabiji Market_2,G_LK Sabiji Market@LK Sabiji Market,cell_site
G09_LK Sabiji Market_3,G_LK Sabiji Market@LK Sabiji Market,cell_site
G09_Sukuta 2_1,G_Sukuta 2@Sukuta 2,cell_site
G09_Sukuta 2_2,G_Sukuta 2@Sukuta 2,cell_site
G09_Sukuta 2_3,G_Sukuta 2@Sukuta 2,cell_site
