sk_object,object,measurement_id,duration,userlabel,is_connected,is_included_in_validation,dwh_created,dwh_last_modified
15562,MRBTS-5045/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,nokia_macro_51322,15,MRBTS-5045,1.0,1.0,2022-03-24 03:13:46.386030,2022-03-24 03:13:46.386030
34,MRBTS-5091/TNLSVC-1/TNL-1/IPNO-1,nokia_macro_51328,15,MRBTS-5091,1.0,1.0,2022-03-12 09:43:37.689153,2022-04-09 17:55:20.097369
451,MRBTS-5045/TNLSVC-1/TNL-1/IPNO-1/IPIF-3,nokia_common_51376,7,MRBTS-5045,1.0,1.0,2022-03-24 02:33:32.969959,2022-03-24 02:33:32.969959
86789,"MRBTS-5079/LNBTS-5079/LNCEL-31,MCC-619/MNC-05",nokia_common_8008,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:40.070136,2022-03-26 13:40:40.070136
86792,"MRBTS-5079/LNBTS-5079/LNCEL-1,MCC-619/MNC-05",nokia_common_8008,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:40.070136,2022-03-26 13:40:40.070136
300,MRBTS-5045/TNLSVC-1/TNL-1/IPNO-1,nokia_common_51324,7,MRBTS-5045,1.0,1.0,2022-03-24 02:33:31.029272,2022-03-24 02:33:31.029272
87206,"MRBTS-5079/LNBTS-5079/LNCEL-11,MCC-619/MNC-05,ECI-1299999,MCC-619/MNC-05",nokia_common_8015,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:46.944854,2022-03-26 13:40:46.944854
32,MRBTS-5062/TNLSVC-1/TNL-1/IPNO-1,nokia_macro_51328,15,MRBTS-5062,1.0,1.0,2022-03-12 09:43:37.689153,2022-04-09 17:55:20.097369
87208,"MRBTS-5079/LNBTS-5079/LNCEL-3,MCC-619/MNC-05,ECI-1285890,MCC-619/MNC-05",nokia_common_8015,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:46.944854,2022-03-26 13:40:46.944854
1347,"MRBTS-5089/LNBTS-5089/LNCEL-3,MCC-619/MNC-05,ECI-1306115,MCC-619/MNC-05",nokia_common_8015,6,MRBTS-5089,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
