unique_table_name,unique_counter_name,vendor,counter_name,table_name,table_id,counter_id,counter_name_alias,counter_description,counter_unit,aggregation,enabled,enable_for_parser_module,mapped_object_id,tables_in_database,mapped_object_name,is_archived,busy_hour_aggregation,busy_hour_formula,busy_hour_column,aggregation_in_upper,Tech,MO Class,Size,suffex
3G_IubLink,3G_IubLink_pmSoftCongGbrBwUl,ericsson,pmSoftCongGbrBwUl,IubLink,20000160,20001978,pmSoftCongGbrBwUl,,%,sum,1.0,1.0,1402.0,,RNCIubLink,,,,,SUM,3G,,,
3G_IubLink,3G_IubLink_pmSumDlCredits,ericsson,pmSumDlCredits,IubLink,20000160,20001979,pmSumDlCredits,,#,sum,1.0,1.0,1402.0,,RNCIubLink,,,,,SUM,3G,,,
3G_IubLink,3G_IubLink_pmSumSqrDlCredits,ericsson,pmSumSqrDlCredits,IubLink,20000160,20001980,pmSumSqrDlCredits,,#,sum,1.0,1.0,1402.0,,RNCIubLink,,,,,SUM,3G,,,
3G_IubLink,3G_IubLink_pmSumSqrUlCredits,ericsson,pmSumSqrUlCredits,IubLink,20000160,20001981,pmSumSqrUlCredits,,#,sum,1.0,1.0,1402.0,,RNCIubLink,,,,,SUM,3G,,,
3G_IubLink,3G_IubLink_pmSumUlCredits,ericsson,pmSumUlCredits,IubLink,20000160,20001982,pmSumUlCredits,,#,sum,1.0,1.0,1402.0,,RNCIubLink,,,,,SUM,3G,,,
3G_IubLink,3G_IubLink_pmTotalTimeIubLinkCongestedDl,ericsson,pmTotalTimeIubLinkCongestedDl,IubLink,20000160,20001983,pmTotalTimeIubLinkCongestedDl,,sec,sum,1.0,1.0,1402.0,,RNCIubLink,,,,,SUM,3G,,,
3G_IubLink,3G_IubLink_pmTotalTimeIubLinkUnavail,ericsson,pmTotalTimeIubLinkUnavail,IubLink,20000160,20001984,pmTotalTimeIubLinkUnavail,,sec,sum,1.0,1.0,1402.0,,RNCIubLink,,,,,SUM,3G,,,
3G_IubLink_V,3G_IubLink_V_pmUlCredits,ericsson,pmUlCredits,IubLink_V,20000161,20001988,pmUlCredits,,#,sum,1.0,1.0,1402.0,,RNCIubLink_V,,,,,SUM,3G,,,
3G_IuLink,3G_IuLink_pmInFrames,ericsson,pmInFrames,IuLink,20000162,20001989,pmInFrames,,#,sum,1.0,1.0,1402.0,,RNCIuLink,,,,,SUM,3G,,,
3G_IuLink,3G_IuLink_pmInLostFrames,ericsson,pmInLostFrames,IuLink,20000162,20001990,pmInLostFrames,,#,sum,1.0,1.0,1402.0,,RNCIuLink,,,,,SUM,3G,,,
3G_IuLink,3G_IuLink_pmInOutOfSequenceFrames,ericsson,pmInOutOfSequenceFrames,IuLink,20000162,20001991,pmInOutOfSequenceFrames,,#,sum,1.0,1.0,1402.0,,RNCIuLink,,,,,SUM,3G,,,
3G_IuLink,3G_IuLink_pmMocnNwFailReceived,ericsson,pmMocnNwFailReceived,IuLink,20000162,20001992,pmMocnNwFailReceived,,#,sum,1.0,1.0,1402.0,,RNCIuLink,,,,,SUM,3G,,,
3G_IuLink,3G_IuLink_pmOutFrames,ericsson,pmOutFrames,IuLink,20000162,20001993,pmOutFrames,,#,sum,1.0,1.0,1402.0,,RNCIuLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmCallReestAttCsNwInit,ericsson,pmCallReestAttCsNwInit,IurLink,20000163,20001994,pmCallReestAttCsNwInit,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmCallReestReqCsNwInit,ericsson,pmCallReestReqCsNwInit,IurLink,20000163,20001995,pmCallReestReqCsNwInit,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmDchFramesOutOfSequenceUl,ericsson,pmDchFramesOutOfSequenceUl,IurLink,20000163,20001996,pmDchFramesOutOfSequenceUl,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink_V,3G_IurLink_V_pmEdchDataFrameDelayIub,ericsson,pmEdchDataFrameDelayIub,IurLink_V,20000164,20002018,pmEdchDataFrameDelayIub,,msec,sum,1.0,1.0,1402.0,,RNCIurLink_V,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmEdchDataFramesLost,ericsson,pmEdchDataFramesLost,IurLink,20000163,20001997,pmEdchDataFramesLost,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmEdchDataFramesReceived,ericsson,pmEdchDataFramesReceived,IurLink,20000163,20001998,pmEdchDataFramesReceived,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmHsSevereCong,ericsson,pmHsSevereCong,IurLink,20000163,20001999,pmHsSevereCong,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmNoAttIncCnhhoCsNonSpeech,ericsson,pmNoAttIncCnhhoCsNonSpeech,IurLink,20000163,20002000,pmNoAttIncCnhhoCsNonSpeech,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmNoAttIncCnhhoSpeech,ericsson,pmNoAttIncCnhhoSpeech,IurLink,20000163,20002001,pmNoAttIncCnhhoSpeech,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmNoNormalRabReleaseCs64,ericsson,pmNoNormalRabReleaseCs64,IurLink,20000163,20002002,pmNoNormalRabReleaseCs64,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmNoNormalRabReleaseCsStream,ericsson,pmNoNormalRabReleaseCsStream,IurLink,20000163,20002003,pmNoNormalRabReleaseCsStream,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmNoNormalRabReleasePacket,ericsson,pmNoNormalRabReleasePacket,IurLink,20000163,20002004,pmNoNormalRabReleasePacket,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmNoNormalRabReleaseSpeech,ericsson,pmNoNormalRabReleaseSpeech,IurLink,20000163,20002006,pmNoNormalRabReleaseSpeech,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmNoOfRlForDriftingUesPerDrnc,ericsson,pmNoOfRlForDriftingUesPerDrnc,IurLink,20000163,20002007,pmNoOfRlForDriftingUesPerDrnc,,#,avg,1.0,1.0,1402.0,,RNCIurLink,,,,,AVG,3G,,,
3G_IurLink,3G_IurLink_pmNoSuccIncCnhhoCsNonSpeech,ericsson,pmNoSuccIncCnhhoCsNonSpeech,IurLink,20000163,20002008,pmNoSuccIncCnhhoCsNonSpeech,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmNoSuccIncCnhhoSpeech,ericsson,pmNoSuccIncCnhhoSpeech,IurLink,20000163,20002009,pmNoSuccIncCnhhoSpeech,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmNoSystemRabReleaseCs64,ericsson,pmNoSystemRabReleaseCs64,IurLink,20000163,20002010,pmNoSystemRabReleaseCs64,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmNoSystemRabReleaseCsStream,ericsson,pmNoSystemRabReleaseCsStream,IurLink,20000163,20002011,pmNoSystemRabReleaseCsStream,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmNoSystemRabReleasePacket,ericsson,pmNoSystemRabReleasePacket,IurLink,20000163,20002012,pmNoSystemRabReleasePacket,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmNoSystemRabReleaseSpeech,ericsson,pmNoSystemRabReleaseSpeech,IurLink,20000163,20002014,pmNoSystemRabReleaseSpeech,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmRedirAttRwrEutraCcTrigg,ericsson,pmRedirAttRwrEutraCcTrigg,IurLink,20000163,20002015,pmRedirAttRwrEutraCcTrigg,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmRedirectAttemptsEutra,ericsson,pmRedirectAttemptsEutra,IurLink,20000163,20002016,pmRedirectAttemptsEutra,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_IurLink,3G_IurLink_pmRedirRwrEutraCcAcc,ericsson,pmRedirRwrEutraCcAcc,IurLink,20000163,20002017,pmRedirRwrEutraCcAcc,,#,sum,1.0,1.0,1402.0,,RNCIurLink,,,,,SUM,3G,,,
3G_J1PhysPathTerm,3G_J1PhysPathTerm_pmEs,ericsson,pmEs,J1PhysPathTerm,20000054,20000995,pmEs,,sec,sum,1.0,1.0,1402.0,,RNCJ1PhysPathTerm,,,,,SUM,3G,,,
3G_J1PhysPathTerm,3G_J1PhysPathTerm_pmSes,ericsson,pmSes,J1PhysPathTerm,20000054,20000996,pmSes,,sec,sum,1.0,1.0,1402.0,,RNCJ1PhysPathTerm,,,,,SUM,3G,,,
3G_J1PhysPathTerm,3G_J1PhysPathTerm_pmUas,ericsson,pmUas,J1PhysPathTerm,20000054,20000997,pmUas,,sec,sum,1.0,1.0,1402.0,,RNCJ1PhysPathTerm,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmAdmittedRequestsB0,ericsson,pmAdmittedRequestsB0,LoadControl,20000166,20002022,pmAdmittedRequestsB0,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmAdmittedRequestsB1,ericsson,pmAdmittedRequestsB1,LoadControl,20000166,20002023,pmAdmittedRequestsB1,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmAdmittedRequestsF0,ericsson,pmAdmittedRequestsF0,LoadControl,20000166,20002024,pmAdmittedRequestsF0,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmAdmittedRequestsF1,ericsson,pmAdmittedRequestsF1,LoadControl,20000166,20002025,pmAdmittedRequestsF1,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmAdmittedRequestsF2,ericsson,pmAdmittedRequestsF2,LoadControl,20000166,20002026,pmAdmittedRequestsF2,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmAdmittedRequestsF3,ericsson,pmAdmittedRequestsF3,LoadControl,20000166,20002027,pmAdmittedRequestsF3,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmAdmittedRequestsF4,ericsson,pmAdmittedRequestsF4,LoadControl,20000166,20002028,pmAdmittedRequestsF4,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl_V,3G_LoadControl_V_pmMeasuredLoad,ericsson,pmMeasuredLoad,LoadControl_V,20000167,20002039,pmMeasuredLoad,,#,sum,1.0,1.0,1402.0,,RNCLoadControl_V,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmRefusedRequestsB0,ericsson,pmRefusedRequestsB0,LoadControl,20000166,20002029,pmRefusedRequestsB0,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmRefusedRequestsB1,ericsson,pmRefusedRequestsB1,LoadControl,20000166,20002030,pmRefusedRequestsB1,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmRefusedRequestsF0,ericsson,pmRefusedRequestsF0,LoadControl,20000166,20002031,pmRefusedRequestsF0,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmRefusedRequestsF1,ericsson,pmRefusedRequestsF1,LoadControl,20000166,20002032,pmRefusedRequestsF1,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmRefusedRequestsF2,ericsson,pmRefusedRequestsF2,LoadControl,20000166,20002033,pmRefusedRequestsF2,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmRefusedRequestsF3,ericsson,pmRefusedRequestsF3,LoadControl,20000166,20002034,pmRefusedRequestsF3,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmRefusedRequestsF4,ericsson,pmRefusedRequestsF4,LoadControl,20000166,20002035,pmRefusedRequestsF4,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmSamplesMeasuredLoad,ericsson,pmSamplesMeasuredLoad,LoadControl,20000166,20002036,pmSamplesMeasuredLoad,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmSumMeasuredLoad,ericsson,pmSumMeasuredLoad,LoadControl,20000166,20002037,pmSumMeasuredLoad,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LoadControl,3G_LoadControl_pmSumSqrMeasuredLoad,ericsson,pmSumSqrMeasuredLoad,LoadControl,20000166,20002038,pmSumSqrMeasuredLoad,,#,sum,1.0,1.0,1402.0,,RNCLoadControl,,,,,SUM,3G,,,
3G_LocationArea,3G_LocationArea_pmCnInitPagingToIdleUeLa,ericsson,pmCnInitPagingToIdleUeLa,LocationArea,20000168,20002040,pmCnInitPagingToIdleUeLa,,#,sum,1.0,1.0,1402.0,,RNCLocationArea,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspacAckReceived,ericsson,pmNoOfAspacAckReceived,M3uaRemoteSp,20000169,20002041,pmNoOfAspacAckReceived,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspacAckSent,ericsson,pmNoOfAspacAckSent,M3uaRemoteSp,20000169,20002042,pmNoOfAspacAckSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspacReceived,ericsson,pmNoOfAspacReceived,M3uaRemoteSp,20000169,20002043,pmNoOfAspacReceived,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspacSent,ericsson,pmNoOfAspacSent,M3uaRemoteSp,20000169,20002044,pmNoOfAspacSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspdnAckReceived,ericsson,pmNoOfAspdnAckReceived,M3uaRemoteSp,20000169,20002045,pmNoOfAspdnAckReceived,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspdnAckSent,ericsson,pmNoOfAspdnAckSent,M3uaRemoteSp,20000169,20002046,pmNoOfAspdnAckSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspdnReceived,ericsson,pmNoOfAspdnReceived,M3uaRemoteSp,20000169,20002047,pmNoOfAspdnReceived,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspdnSent,ericsson,pmNoOfAspdnSent,M3uaRemoteSp,20000169,20002048,pmNoOfAspdnSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspiaAckReceived,ericsson,pmNoOfAspiaAckReceived,M3uaRemoteSp,20000169,20002049,pmNoOfAspiaAckReceived,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspiaAckSent,ericsson,pmNoOfAspiaAckSent,M3uaRemoteSp,20000169,20002050,pmNoOfAspiaAckSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspiaReceived,ericsson,pmNoOfAspiaReceived,M3uaRemoteSp,20000169,20002051,pmNoOfAspiaReceived,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspiaSent,ericsson,pmNoOfAspiaSent,M3uaRemoteSp,20000169,20002052,pmNoOfAspiaSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspupAckReceived,ericsson,pmNoOfAspupAckReceived,M3uaRemoteSp,20000169,20002053,pmNoOfAspupAckReceived,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspupAckSent,ericsson,pmNoOfAspupAckSent,M3uaRemoteSp,20000169,20002054,pmNoOfAspupAckSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspupReceived,ericsson,pmNoOfAspupReceived,M3uaRemoteSp,20000169,20002055,pmNoOfAspupReceived,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfAspupSent,ericsson,pmNoOfAspupSent,M3uaRemoteSp,20000169,20002056,pmNoOfAspupSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfCommunicationLost,ericsson,pmNoOfCommunicationLost,M3uaRemoteSp,20000169,20002057,pmNoOfCommunicationLost,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfCongestions,ericsson,pmNoOfCongestions,M3uaRemoteSp,20000169,20002058,pmNoOfCongestions,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfDataMsgRec,ericsson,pmNoOfDataMsgRec,M3uaRemoteSp,20000169,20002059,pmNoOfDataMsgRec,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfDataMsgSent,ericsson,pmNoOfDataMsgSent,M3uaRemoteSp,20000169,20002060,pmNoOfDataMsgSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfDaudMsgRec,ericsson,pmNoOfDaudMsgRec,M3uaRemoteSp,20000169,20002061,pmNoOfDaudMsgRec,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfDaudMsgSent,ericsson,pmNoOfDaudMsgSent,M3uaRemoteSp,20000169,20002062,pmNoOfDaudMsgSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfDavaRec,ericsson,pmNoOfDavaRec,M3uaRemoteSp,20000169,20002063,pmNoOfDavaRec,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfDavaSent,ericsson,pmNoOfDavaSent,M3uaRemoteSp,20000169,20002064,pmNoOfDavaSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfDrstRec,ericsson,pmNoOfDrstRec,M3uaRemoteSp,20000169,20002065,pmNoOfDrstRec,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfDrstSent,ericsson,pmNoOfDrstSent,M3uaRemoteSp,20000169,20002066,pmNoOfDrstSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfDunaRec,ericsson,pmNoOfDunaRec,M3uaRemoteSp,20000169,20002067,pmNoOfDunaRec,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfDunaSent,ericsson,pmNoOfDunaSent,M3uaRemoteSp,20000169,20002068,pmNoOfDunaSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfErrorMsgRec,ericsson,pmNoOfErrorMsgRec,M3uaRemoteSp,20000169,20002071,pmNoOfErrorMsgRec,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfErrorMsgSent,ericsson,pmNoOfErrorMsgSent,M3uaRemoteSp,20000169,20002072,pmNoOfErrorMsgSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfM3uaDataMsgDiscarded,ericsson,pmNoOfM3uaDataMsgDiscarded,M3uaRemoteSp,20000169,20002073,pmNoOfM3uaDataMsgDiscarded,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfNotifyMsgRec,ericsson,pmNoOfNotifyMsgRec,M3uaRemoteSp,20000169,20002074,pmNoOfNotifyMsgRec,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfNotifyMsgSent,ericsson,pmNoOfNotifyMsgSent,M3uaRemoteSp,20000169,20002075,pmNoOfNotifyMsgSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfRecUserData,ericsson,pmNoOfRecUserData,M3uaRemoteSp,20000169,20002076,pmNoOfRecUserData,,kbyte,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfSconRec,ericsson,pmNoOfSconRec,M3uaRemoteSp,20000169,20002077,pmNoOfSconRec,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfSconSent,ericsson,pmNoOfSconSent,M3uaRemoteSp,20000169,20002078,pmNoOfSconSent,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfSctpAssociationRestart,ericsson,pmNoOfSctpAssociationRestart,M3uaRemoteSp,20000169,20002079,pmNoOfSctpAssociationRestart,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
3G_M3uaRemoteSp,3G_M3uaRemoteSp_pmNoOfSctpBufOverflow,ericsson,pmNoOfSctpBufOverflow,M3uaRemoteSp,20000169,20002080,pmNoOfSctpBufOverflow,,#,sum,1.0,1.0,1402.0,,RNCM3uaRemoteSp,,,,,SUM,3G,,,
