NE Name,fdn,BTSID,BTSNAME,CELLID,CELLNAME,IDTYPE,MOIndex,className,name,neID
FTBSC02,"NE=280,CELLBIND2BTS=63_498",63,WILKINSONROAD,498,WILKINSONROAD-2,BYID,26_498,BSC6900GSMCELLBIND2BTS,"BTS Index=63, Cell Index=498",26
FTBSC02,"NE=280,CELLBIND2BTS=63_499",63,WILKINSONROAD,499,WILKINSONROAD-3,BYID,26_499,BSC6900GSMCELLBIND2BTS,"BTS Index=63, Cell Index=499",26
FTBSC02,"NE=280,CELLBIND2BTS=63_500",63,WILKINSONROAD,500,WILKINSONROAD-6,BYID,26_500,BSC6900GSMCELLBIND2BTS,"BTS Index=63, Cell Index=500",26
FTBSC02,"NE=280,CELLBIND2BTS=63_501",63,WILKINSONROAD,501,WILKINSONROAD-8,BYID,26_501,BSC6900GSMCELLBIND2BTS,"BTS Index=63, Cell Index=501",26
FTBSC02,"NE=280,CELLBIND2BTS=63_502",63,WILKINSONROAD,502,WILKINSONROAD-9,BYID,26_502,BSC6900GSMCELLBIND2BTS,"BTS Index=63, Cell Index=502",26
FTBSC02,"NE=280,CELLBIND2BTS=65_513",65,YOUYIBUILDING,513,YOUYIBUILDING-1,BYID,26_513,BSC6900GSMCELLBIND2BTS,"BTS Index=65, Cell Index=513",26
FTBSC02,"NE=280,CELLBIND2BTS=65_514",65,YOUYIBUILDING,514,YOUYIBUILDING-2,BYID,26_514,BSC6900GSMCELLBIND2BTS,"BTS Index=65, Cell Index=514",26
FTBSC02,"NE=280,CELLBIND2BTS=65_515",65,YOUYIBUILDING,515,YOUYIBUILDING-3,BYID,26_515,BSC6900GSMCELLBIND2BTS,"BTS Index=65, Cell Index=515",26
FTBSC02,"NE=280,CELLBIND2BTS=65_516",65,YOUYIBUILDING,516,YOUYIBUILDING-9,BYID,26_516,BSC6900GSMCELLBIND2BTS,"BTS Index=65, Cell Index=516",26
FTBSC02,"NE=280,CELLBIND2BTS=65_517",65,YOUYIBUILDING,517,YOUYIBUILDING-6,BYID,26_517,BSC6900GSMCELLBIND2BTS,"BTS Index=65, Cell Index=517",26
FTBSC02,"NE=280,CELLBIND2BTS=65_518",65,YOUYIBUILDING,518,YOUYIBUILDING-7,BYID,26_518,BSC6900GSMCELLBIND2BTS,"BTS Index=65, Cell Index=518",26
FTBSC02,"NE=280,CELLBIND2BTS=67_531",67,COLEFARM_II,531,COLEFARM_II-8,BYID,26_531,BSC6900GSMCELLBIND2BTS,"BTS Index=67, Cell Index=531",26
FTBSC02,"NE=280,CELLBIND2BTS=68_537",68,COLLEGIATESCHOOL_II,537,COLLEGIATESCHOOL_II-2,BYID,26_537,BSC6900GSMCELLBIND2BTS,"BTS Index=68, Cell Index=537",26
FTBSC02,"NE=280,CELLBIND2BTS=68_538",68,COLLEGIATESCHOOL_II,538,COLLEGIATESCHOOL_II-6,BYID,26_538,BSC6900GSMCELLBIND2BTS,"BTS Index=68, Cell Index=538",26
FTBSC02,"NE=280,CELLBIND2BTS=68_539",68,COLLEGIATESCHOOL_II,539,COLLEGIATESCHOOL_II-8,BYID,26_539,BSC6900GSMCELLBIND2BTS,"BTS Index=68, Cell Index=539",26
FTBSC02,"NE=280,CELLBIND2BTS=78_617",78,TENGBEHTOWN_II,617,TENGBEHTOWN_II-6,BYID,26_617,BSC6900GSMCELLBIND2BTS,"BTS Index=78, Cell Index=617",26
FTBSC02,"NE=280,CELLBIND2BTS=78_618",78,TENGBEHTOWN_II,618,TENGBEHTOWN_II-7,BYID,26_618,BSC6900GSMCELLBIND2BTS,"BTS Index=78, Cell Index=618",26
FTBSC02,"NE=280,CELLBIND2BTS=78_619",78,TENGBEHTOWN_II,619,TENGBEHTOWN_II-8,BYID,26_619,BSC6900GSMCELLBIND2BTS,"BTS Index=78, Cell Index=619",26
FTBSC02,"NE=280,CELLBIND2BTS=67_532",67,COLEFARM_II,532,COLEFARM_II-2,BYID,26_532,BSC6900GSMCELLBIND2BTS,"BTS Index=67, Cell Index=532",26
FTBSC02,"NE=280,CELLBIND2BTS=100_801",100,BAGBEMA,801,BAGBEMA-1,BYID,26_801,BSC6900GSMCELLBIND2BTS,"BTS Index=100, Cell Index=801",26
FTBSC02,"NE=280,CELLBIND2BTS=100_802",100,BAGBEMA,802,BAGBEMA-2,BYID,26_802,BSC6900GSMCELLBIND2BTS,"BTS Index=100, Cell Index=802",26
FTBSC02,"NE=280,CELLBIND2BTS=100_803",100,BAGBEMA,803,BAGBEMA-3,BYID,26_803,BSC6900GSMCELLBIND2BTS,"BTS Index=100, Cell Index=803",26
FTBSC02,"NE=280,CELLBIND2BTS=109_873",109,MAKALI,873,MAKALI-1,BYID,26_873,BSC6900GSMCELLBIND2BTS,"BTS Index=109, Cell Index=873",26
FTBSC02,"NE=280,CELLBIND2BTS=109_874",109,MAKALI,874,MAKALI-2,BYID,26_874,BSC6900GSMCELLBIND2BTS,"BTS Index=109, Cell Index=874",26
FTBSC02,"NE=280,CELLBIND2BTS=109_875",109,MAKALI,875,MAKALI-3,BYID,26_875,BSC6900GSMCELLBIND2BTS,"BTS Index=109, Cell Index=875",26
FTBSC02,"NE=280,CELLBIND2BTS=114_913",114,MASINGBI_II,913,MASINGBI_II-1,BYID,26_913,BSC6900GSMCELLBIND2BTS,"BTS Index=114, Cell Index=913",26
FTBSC02,"NE=280,CELLBIND2BTS=114_914",114,MASINGBI_II,914,MASINGBI_II-2,BYID,26_914,BSC6900GSMCELLBIND2BTS,"BTS Index=114, Cell Index=914",26
FTBSC02,"NE=280,CELLBIND2BTS=114_915",114,MASINGBI_II,915,MASINGBI_II-3,BYID,26_915,BSC6900GSMCELLBIND2BTS,"BTS Index=114, Cell Index=915",26
FTBSC02,"NE=280,CELLBIND2BTS=147_1178",147,GEREHUN_II,1178,GEREHUN_II-2,BYID,26_1178,BSC6900GSMCELLBIND2BTS,"BTS Index=147, Cell Index=1178",26
FTBSC02,"NE=280,CELLBIND2BTS=147_1179",147,GEREHUN_II,1179,GEREHUN_II-3,BYID,26_1179,BSC6900GSMCELLBIND2BTS,"BTS Index=147, Cell Index=1179",26
FTBSC02,"NE=280,CELLBIND2BTS=166_1329",166,TINKONKO,1329,TINKONKO-1,BYID,26_1329,BSC6900GSMCELLBIND2BTS,"BTS Index=166, Cell Index=1329",26
FTBSC02,"NE=280,CELLBIND2BTS=166_1330",166,TINKONKO,1330,TINKONKO-2,BYID,26_1330,BSC6900GSMCELLBIND2BTS,"BTS Index=166, Cell Index=1330",26
FTBSC02,"NE=280,CELLBIND2BTS=166_1331",166,TINKONKO,1331,TINKONKO-3,BYID,26_1331,BSC6900GSMCELLBIND2BTS,"BTS Index=166, Cell Index=1331",26
FTBSC02,"NE=280,CELLBIND2BTS=173_1385",173,NJALABOCAMPUS_II,1385,NJALABOCAMPUS_II-1,BYID,26_1385,BSC6900GSMCELLBIND2BTS,"BTS Index=173, Cell Index=1385",26
FTBSC02,"NE=280,CELLBIND2BTS=173_1386",173,NJALABOCAMPUS_II,1386,NJALABOCAMPUS_II-2,BYID,26_1386,BSC6900GSMCELLBIND2BTS,"BTS Index=173, Cell Index=1386",26
FTBSC02,"NE=280,CELLBIND2BTS=173_1387",173,NJALABOCAMPUS_II,1387,NJALABOCAMPUS_II-3,BYID,26_1387,BSC6900GSMCELLBIND2BTS,"BTS Index=173, Cell Index=1387",26
FTBSC02,"NE=280,CELLBIND2BTS=175_1401",175,RESERVATION_II,1401,RESERVATION_II-1,BYID,26_1401,BSC6900GSMCELLBIND2BTS,"BTS Index=175, Cell Index=1401",26
FTBSC02,"NE=280,CELLBIND2BTS=175_1402",175,RESERVATION_II,1402,RESERVATION_II-2,BYID,26_1402,BSC6900GSMCELLBIND2BTS,"BTS Index=175, Cell Index=1402",26
FTBSC02,"NE=280,CELLBIND2BTS=175_1403",175,RESERVATION_II,1403,RESERVATION_II-3,BYID,26_1403,BSC6900GSMCELLBIND2BTS,"BTS Index=175, Cell Index=1403",26
FTBSC02,"NE=280,CELLBIND2BTS=177_1417",177,SHELLMINGO_II,1417,SHELLMINGO_II-1,BYID,26_1417,BSC6900GSMCELLBIND2BTS,"BTS Index=177, Cell Index=1417",26
FTBSC02,"NE=280,CELLBIND2BTS=177_1418",177,SHELLMINGO_II,1418,SHELLMINGO_II-2,BYID,26_1418,BSC6900GSMCELLBIND2BTS,"BTS Index=177, Cell Index=1418",26
FTBSC02,"NE=280,CELLBIND2BTS=177_1419",177,SHELLMINGO_II,1419,SHELLMINGO_II-3,BYID,26_1419,BSC6900GSMCELLBIND2BTS,"BTS Index=177, Cell Index=1419",26
FTBSC02,"NE=280,CELLBIND2BTS=177_1420",177,SHELLMINGO_II,1420,SHELLMINGO_II-7,BYID,26_1420,BSC6900GSMCELLBIND2BTS,"BTS Index=177, Cell Index=1420",26
FTBSC02,"NE=280,CELLBIND2BTS=177_1421",177,SHELLMINGO_II,1421,SHELLMINGO_II-8,BYID,26_1421,BSC6900GSMCELLBIND2BTS,"BTS Index=177, Cell Index=1421",26
FTBSC02,"NE=280,CELLBIND2BTS=143_1145",143,BLAMA,1145,BLAMA-1,BYID,26_1145,BSC6900GSMCELLBIND2BTS,"BTS Index=143, Cell Index=1145",26
FTBSC02,"NE=280,CELLBIND2BTS=143_1146",143,BLAMA,1146,BLAMA-2,BYID,26_1146,BSC6900GSMCELLBIND2BTS,"BTS Index=143, Cell Index=1146",26
FTBSC02,"NE=280,CELLBIND2BTS=143_1147",143,BLAMA,1147,BLAMA-3,BYID,26_1147,BSC6900GSMCELLBIND2BTS,"BTS Index=143, Cell Index=1147",26
FTBSC02,"NE=280,CELLBIND2BTS=143_1148",143,BLAMA,1148,BLAMA-4,BYID,26_1148,BSC6900GSMCELLBIND2BTS,"BTS Index=143, Cell Index=1148",26
FTBSC02,"NE=280,CELLBIND2BTS=149_1193",149,KENEMAHILL,1193,KENEMAHILL-1,BYID,26_1193,BSC6900GSMCELLBIND2BTS,"BTS Index=149, Cell Index=1193",26
FTBSC02,"NE=280,CELLBIND2BTS=149_1194",149,KENEMAHILL,1194,KENEMAHILL-2,BYID,26_1194,BSC6900GSMCELLBIND2BTS,"BTS Index=149, Cell Index=1194",26
FTBSC02,"NE=280,CELLBIND2BTS=149_1195",149,KENEMAHILL,1195,KENEMAHILL-3,BYID,26_1195,BSC6900GSMCELLBIND2BTS,"BTS Index=149, Cell Index=1195",26
FTBSC02,"NE=280,CELLBIND2BTS=149_1196",149,KENEMAHILL,1196,KENEMAHILL-4,BYID,26_1196,BSC6900GSMCELLBIND2BTS,"BTS Index=149, Cell Index=1196",26
FTBSC02,"NE=280,CELLBIND2BTS=176_1409",176,SAMAITOWN_II,1409,SAMAITOWN_II-1,BYID,26_1409,BSC6900GSMCELLBIND2BTS,"BTS Index=176, Cell Index=1409",26
FTBSC02,"NE=280,CELLBIND2BTS=176_1410",176,SAMAITOWN_II,1410,SAMAITOWN_II-2,BYID,26_1410,BSC6900GSMCELLBIND2BTS,"BTS Index=176, Cell Index=1410",26
FTBSC02,"NE=280,CELLBIND2BTS=176_1411",176,SAMAITOWN_II,1411,SAMAITOWN_II-3,BYID,26_1411,BSC6900GSMCELLBIND2BTS,"BTS Index=176, Cell Index=1411",26
FTBSC02,"NE=280,CELLBIND2BTS=178_1425",178,DAMAROAD,1425,DAMAROAD-2,BYID,26_1425,BSC6900GSMCELLBIND2BTS,"BTS Index=178, Cell Index=1425",26
FTBSC02,"NE=280,CELLBIND2BTS=178_1426",178,DAMAROAD,1426,DAMAROAD-3,BYID,26_1426,BSC6900GSMCELLBIND2BTS,"BTS Index=178, Cell Index=1426",26
FTBSC02,"NE=280,CELLBIND2BTS=178_1427",178,DAMAROAD,1427,DAMAROAD-4,BYID,26_1427,BSC6900GSMCELLBIND2BTS,"BTS Index=178, Cell Index=1427",26
FTBSC02,"NE=280,CELLBIND2BTS=178_1428",178,DAMAROAD,1428,DAMAROAD-8,BYID,26_1428,BSC6900GSMCELLBIND2BTS,"BTS Index=178, Cell Index=1428",26
FTBSC02,"NE=280,CELLBIND2BTS=178_1429",178,DAMAROAD,1429,DAMAROAD-9,BYID,26_1429,BSC6900GSMCELLBIND2BTS,"BTS Index=178, Cell Index=1429",26
FTBSC02,"NE=280,CELLBIND2BTS=178_1430",178,DAMAROAD,1430,DAMAROAD-1,BYID,26_1430,BSC6900GSMCELLBIND2BTS,"BTS Index=178, Cell Index=1430",26
FTBSC02,"NE=280,CELLBIND2BTS=186_1489",186,HANGA,1489,HANGA-1,BYID,26_1489,BSC6900GSMCELLBIND2BTS,"BTS Index=186, Cell Index=1489",26
FTBSC02,"NE=280,CELLBIND2BTS=186_1490",186,HANGA,1490,HANGA-2,BYID,26_1490,BSC6900GSMCELLBIND2BTS,"BTS Index=186, Cell Index=1490",26
FTBSC02,"NE=280,CELLBIND2BTS=186_1491",186,HANGA,1491,HANGA-3,BYID,26_1491,BSC6900GSMCELLBIND2BTS,"BTS Index=186, Cell Index=1491",26
FTBSC02,"NE=280,CELLBIND2BTS=206_1649",206,BINKOLO,1649,BINKOLO-1,BYID,26_1649,BSC6900GSMCELLBIND2BTS,"BTS Index=206, Cell Index=1649",26
FTBSC02,"NE=280,CELLBIND2BTS=206_1650",206,BINKOLO,1650,BINKOLO-2,BYID,26_1650,BSC6900GSMCELLBIND2BTS,"BTS Index=206, Cell Index=1650",26
FTBSC02,"NE=280,CELLBIND2BTS=206_1651",206,BINKOLO,1651,BINKOLO-3,BYID,26_1651,BSC6900GSMCELLBIND2BTS,"BTS Index=206, Cell Index=1651",26
FTBSC02,"NE=280,CELLBIND2BTS=206_1652",206,BINKOLO,1652,BINKOLO-4,BYID,26_1652,BSC6900GSMCELLBIND2BTS,"BTS Index=206, Cell Index=1652",26
FTBSC02,"NE=280,CELLBIND2BTS=153_1225",153,MANO,1225,MANO-1,BYID,26_1225,BSC6900GSMCELLBIND2BTS,"BTS Index=153, Cell Index=1225",26
FTBSC02,"NE=280,CELLBIND2BTS=153_1226",153,MANO,1226,MANO-2,BYID,26_1226,BSC6900GSMCELLBIND2BTS,"BTS Index=153, Cell Index=1226",26
FTBSC02,"NE=280,CELLBIND2BTS=153_1227",153,MANO,1227,MANO-3,BYID,26_1227,BSC6900GSMCELLBIND2BTS,"BTS Index=153, Cell Index=1227",26
FTBSC02,"NE=280,CELLBIND2BTS=153_1228",153,MANO,1228,MANO-4,BYID,26_1228,BSC6900GSMCELLBIND2BTS,"BTS Index=153, Cell Index=1228",26
FTBSC02,"NE=280,CELLBIND2BTS=154_1233",154,MILE91,1233,MILE91-1,BYID,26_1233,BSC6900GSMCELLBIND2BTS,"BTS Index=154, Cell Index=1233",26
FTBSC02,"NE=280,CELLBIND2BTS=154_1234",154,MILE91,1234,MILE91-2,BYID,26_1234,BSC6900GSMCELLBIND2BTS,"BTS Index=154, Cell Index=1234",26
FTBSC02,"NE=280,CELLBIND2BTS=154_1235",154,MILE91,1235,MILE91-3,BYID,26_1235,BSC6900GSMCELLBIND2BTS,"BTS Index=154, Cell Index=1235",26
FTBSC02,"NE=280,CELLBIND2BTS=154_1236",154,MILE91,1236,MILE91-8,BYID,26_1236,BSC6900GSMCELLBIND2BTS,"BTS Index=154, Cell Index=1236",26
FTBSC02,"NE=280,CELLBIND2BTS=155_1241",155,SIEROMCO(REP8)_II,1241,SIEROMCO(REP8)_II-1,BYID,26_1241,BSC6900GSMCELLBIND2BTS,"BTS Index=155, Cell Index=1241",26
FTBSC02,"NE=280,CELLBIND2BTS=69_548",69,HILLCUTROAD_II,548,HILLCUTROAD_II-1,BYID,26_548,BSC6900GSMCELLBIND2BTS,"BTS Index=69, Cell Index=548",26
FTBSC02,"NE=280,CELLBIND2BTS=110_881",110,MAKENI,881,MAKENI-7,BYID,26_881,BSC6900GSMCELLBIND2BTS,"BTS Index=110, Cell Index=881",26
FTBSC02,"NE=280,CELLBIND2BTS=110_882",110,MAKENI,882,MAKENI-1,BYID,26_882,BSC6900GSMCELLBIND2BTS,"BTS Index=110, Cell Index=882",26
FTBSC02,"NE=280,CELLBIND2BTS=110_883",110,MAKENI,883,MAKENI-2,BYID,26_883,BSC6900GSMCELLBIND2BTS,"BTS Index=110, Cell Index=883",26
FTBSC02,"NE=280,CELLBIND2BTS=110_884",110,MAKENI,884,MAKENI-3,BYID,26_884,BSC6900GSMCELLBIND2BTS,"BTS Index=110, Cell Index=884",26
FTBSC02,"NE=280,CELLBIND2BTS=110_885",110,MAKENI,885,MAKENI-8,BYID,26_885,BSC6900GSMCELLBIND2BTS,"BTS Index=110, Cell Index=885",26
FTBSC02,"NE=280,CELLBIND2BTS=111_889",111,MAKENISOS,889,MAKENISOS-8,BYID,26_889,BSC6900GSMCELLBIND2BTS,"BTS Index=111, Cell Index=889",26
FTBSC02,"NE=280,CELLBIND2BTS=111_891",111,MAKENISOS,891,MAKENISOS-2,BYID,26_891,BSC6900GSMCELLBIND2BTS,"BTS Index=111, Cell Index=891",26
FTBSC02,"NE=280,CELLBIND2BTS=111_892",111,MAKENISOS,892,MAKENISOS-3,BYID,26_892,BSC6900GSMCELLBIND2BTS,"BTS Index=111, Cell Index=892",26
FTBSC02,"NE=280,CELLBIND2BTS=111_893",111,MAKENISOS,893,MAKENISOS-6,BYID,26_893,BSC6900GSMCELLBIND2BTS,"BTS Index=111, Cell Index=893",26
FTBSC02,"NE=280,CELLBIND2BTS=111_894",111,MAKENISOS,894,MAKENISOS-7,BYID,26_894,BSC6900GSMCELLBIND2BTS,"BTS Index=111, Cell Index=894",26
FTBSC02,"NE=280,CELLBIND2BTS=124_993",124,AZZOLINIHIGHWAY_II,993,AZZOLINIHIGHWAY_II-1,BYID,26_993,BSC6900GSMCELLBIND2BTS,"BTS Index=124, Cell Index=993",26
FTBSC02,"NE=280,CELLBIND2BTS=124_994",124,AZZOLINIHIGHWAY_II,994,AZZOLINIHIGHWAY_II-2,BYID,26_994,BSC6900GSMCELLBIND2BTS,"BTS Index=124, Cell Index=994",26
FTBSC02,"NE=280,CELLBIND2BTS=124_995",124,AZZOLINIHIGHWAY_II,995,AZZOLINIHIGHWAY_II-6,BYID,26_995,BSC6900GSMCELLBIND2BTS,"BTS Index=124, Cell Index=995",26
FTBSC02,"NE=280,CELLBIND2BTS=124_996",124,AZZOLINIHIGHWAY_II,996,AZZOLINIHIGHWAY_II-7,BYID,26_996,BSC6900GSMCELLBIND2BTS,"BTS Index=124, Cell Index=996",26
FTBSC02,"NE=280,CELLBIND2BTS=124_997",124,AZZOLINIHIGHWAY_II,997,AZZOLINIHIGHWAY_II-8,BYID,26_997,BSC6900GSMCELLBIND2BTS,"BTS Index=124, Cell Index=997",26
FTBSC02,"NE=280,CELLBIND2BTS=125_1001",125,COMPOUNDSTREET_II,1001,COMPOUNDSTREET_II-1,BYID,26_1001,BSC6900GSMCELLBIND2BTS,"BTS Index=125, Cell Index=1001",26
FTBSC02,"NE=280,CELLBIND2BTS=125_1002",125,COMPOUNDSTREET_II,1002,COMPOUNDSTREET_II-2,BYID,26_1002,BSC6900GSMCELLBIND2BTS,"BTS Index=125, Cell Index=1002",26
FTBSC02,"NE=280,CELLBIND2BTS=125_1003",125,COMPOUNDSTREET_II,1003,COMPOUNDSTREET_II-3,BYID,26_1003,BSC6900GSMCELLBIND2BTS,"BTS Index=125, Cell Index=1003",26
FTBSC02,"NE=280,CELLBIND2BTS=125_1004",125,COMPOUNDSTREET_II,1004,COMPOUNDSTREET_II-4,BYID,26_1004,BSC6900GSMCELLBIND2BTS,"BTS Index=125, Cell Index=1004",26
FTBSC02,"NE=280,CELLBIND2BTS=125_1005",125,COMPOUNDSTREET_II,1005,COMPOUNDSTREET_II-6,BYID,26_1005,BSC6900GSMCELLBIND2BTS,"BTS Index=125, Cell Index=1005",26
FTBSC02,"NE=280,CELLBIND2BTS=125_1006",125,COMPOUNDSTREET_II,1006,COMPOUNDSTREET_II-7,BYID,26_1006,BSC6900GSMCELLBIND2BTS,"BTS Index=125, Cell Index=1006",26
FTBSC02,"NE=280,CELLBIND2BTS=125_1007",125,COMPOUNDSTREET_II,1007,COMPOUNDSTREET_II-8,BYID,26_1007,BSC6900GSMCELLBIND2BTS,"BTS Index=125, Cell Index=1007",26
FTBSC02,"NE=280,CELLBIND2BTS=125_1008",125,COMPOUNDSTREET_II,1008,COMPOUNDSTREET_II-9,BYID,26_1008,BSC6900GSMCELLBIND2BTS,"BTS Index=125, Cell Index=1008",26
FTBSC02,"NE=280,CELLBIND2BTS=103_825",103,KABALA,825,KABALA-1,BYID,26_825,BSC6900GSMCELLBIND2BTS,"BTS Index=103, Cell Index=825",26
FTBSC02,"NE=280,CELLBIND2BTS=103_826",103,KABALA,826,KABALA-2,BYID,26_826,BSC6900GSMCELLBIND2BTS,"BTS Index=103, Cell Index=826",26
FTBSC02,"NE=280,CELLBIND2BTS=103_827",103,KABALA,827,KABALA-3,BYID,26_827,BSC6900GSMCELLBIND2BTS,"BTS Index=103, Cell Index=827",26
FTBSC02,"NE=280,CELLBIND2BTS=198_1585",198,SOCFIN,1585,SOCFIN-1,BYID,26_1585,BSC6900GSMCELLBIND2BTS,"BTS Index=198, Cell Index=1585",26
FTBSC02,"NE=280,CELLBIND2BTS=198_1586",198,SOCFIN,1586,SOCFIN-2,BYID,26_1586,BSC6900GSMCELLBIND2BTS,"BTS Index=198, Cell Index=1586",26
FTBSC02,"NE=280,CELLBIND2BTS=198_1587",198,SOCFIN,1587,SOCFIN-3,BYID,26_1587,BSC6900GSMCELLBIND2BTS,"BTS Index=198, Cell Index=1587",26
FTBSC02,"NE=280,CELLBIND2BTS=198_1588",198,SOCFIN,1588,SOCFIN-4,BYID,26_1588,BSC6900GSMCELLBIND2BTS,"BTS Index=198, Cell Index=1588",26
FTBSC02,"NE=280,CELLBIND2BTS=142_1137",142,BANDAJUMASEWA,1137,BANDAJUMASEWA-1,BYID,26_1137,BSC6900GSMCELLBIND2BTS,"BTS Index=142, Cell Index=1137",26
FTBSC02,"NE=280,CELLBIND2BTS=142_1138",142,BANDAJUMASEWA,1138,BANDAJUMASEWA-2,BYID,26_1138,BSC6900GSMCELLBIND2BTS,"BTS Index=142, Cell Index=1138",26
FTBSC02,"NE=280,CELLBIND2BTS=142_1139",142,BANDAJUMASEWA,1139,BANDAJUMASEWA-3,BYID,26_1139,BSC6900GSMCELLBIND2BTS,"BTS Index=142, Cell Index=1139",26
FTBSC02,"NE=280,CELLBIND2BTS=152_1217",152,KORIBONDO_II,1217,KORIBONDO_II-1,BYID,26_1217,BSC6900GSMCELLBIND2BTS,"BTS Index=152, Cell Index=1217",26
FTBSC02,"NE=280,CELLBIND2BTS=152_1218",152,KORIBONDO_II,1218,KORIBONDO_II-2,BYID,26_1218,BSC6900GSMCELLBIND2BTS,"BTS Index=152, Cell Index=1218",26
FTBSC02,"NE=280,CELLBIND2BTS=152_1219",152,KORIBONDO_II,1219,KORIBONDO_II-3,BYID,26_1219,BSC6900GSMCELLBIND2BTS,"BTS Index=152, Cell Index=1219",26
FTBSC02,"NE=280,CELLBIND2BTS=159_1273",159,POTORU_II,1273,POTORU_II-1,BYID,26_1273,BSC6900GSMCELLBIND2BTS,"BTS Index=159, Cell Index=1273",26
FTBSC02,"NE=280,CELLBIND2BTS=159_1274",159,POTORU_II,1274,POTORU_II-2,BYID,26_1274,BSC6900GSMCELLBIND2BTS,"BTS Index=159, Cell Index=1274",26
FTBSC02,"NE=280,CELLBIND2BTS=159_1275",159,POTORU_II,1275,POTORU_II-3,BYID,26_1275,BSC6900GSMCELLBIND2BTS,"BTS Index=159, Cell Index=1275",26
FTBSC02,"NE=280,CELLBIND2BTS=159_1276",159,POTORU_II,1276,POTORU_II-4,BYID,26_1276,BSC6900GSMCELLBIND2BTS,"BTS Index=159, Cell Index=1276",26
