begintime,sk_object,duration,M8027C0,M8027C1,M8027C2,M8027C3,M8027C4,M8027C5
2022-03-14 01:00:00,20833.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-14 19:45:00,20759.0,15,2.0,2.0,2.0,6.0,0.0,6.0
2022-03-13 03:15:00,20839.0,15,2.0,2.0,2.0,6.0,0.0,6.0
2022-03-12 18:45:00,20782.0,15,0.0,0.0,0.0,20.0,0.0,20.0
2022-03-11 13:15:00,20835.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 16:30:00,20789.0,15,0.0,0.0,0.0,2.0,1.0,1.0
2022-03-12 19:00:00,20826.0,15,3.0,3.0,3.0,4.0,3.0,1.0
2022-03-12 20:15:00,20836.0,15,0.0,0.0,0.0,5.0,0.0,4.0
2022-03-11 13:00:00,20796.0,15,0.0,0.0,0.0,4.0,0.0,4.0
2022-03-12 07:30:00,20784.0,15,0.0,0.0,0.0,5.0,0.0,5.0
2022-03-11 06:45:00,20781.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 21:45:00,20800.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-13 16:30:00,20808.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 11:45:00,20782.0,15,1.0,1.0,1.0,20.0,2.0,18.0
2022-03-11 04:00:00,20810.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 05:15:00,20827.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-14 19:00:00,20760.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-14 12:15:00,20814.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 12:15:00,20818.0,15,1.0,1.0,1.0,0.0,0.0,0.0
2022-03-14 02:30:00,20768.0,15,1.0,1.0,1.0,0.0,0.0,0.0
2022-03-14 04:00:00,20828.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-12 18:45:00,20806.0,15,0.0,0.0,0.0,1.0,0.0,0.0
2022-03-12 16:00:00,20836.0,15,2.0,2.0,2.0,8.0,1.0,5.0
2022-03-12 16:45:00,20833.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-11 08:00:00,20763.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 22:00:00,20782.0,15,9.0,9.0,9.0,21.0,2.0,19.0
2022-03-14 19:30:00,20806.0,15,2.0,2.0,2.0,4.0,2.0,2.0
2022-03-12 21:45:00,20747.0,15,1.0,1.0,1.0,4.0,0.0,4.0
2022-03-12 00:15:00,20821.0,15,11.0,11.0,10.0,13.0,1.0,12.0
2022-03-12 08:15:00,20764.0,15,2.0,2.0,2.0,2.0,0.0,2.0
2022-03-11 16:45:00,20838.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 01:15:00,20747.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 16:45:00,20813.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 06:15:00,20755.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 10:30:00,20816.0,15,0.0,0.0,0.0,20.0,2.0,18.0
2022-03-12 02:15:00,20779.0,15,1.0,1.0,1.0,2.0,2.0,0.0
2022-03-13 17:00:00,20775.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 13:45:00,20777.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-13 12:30:00,20802.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 09:45:00,20801.0,15,0.0,0.0,0.0,2.0,1.0,1.0
2022-03-12 15:45:00,20797.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 22:30:00,20812.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-12 08:30:00,20753.0,15,2.0,2.0,2.0,2.0,0.0,2.0
2022-03-11 01:45:00,20796.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 13:15:00,20772.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 17:00:00,20795.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 10:45:00,20760.0,15,0.0,0.0,0.0,2.0,1.0,1.0
2022-03-13 23:30:00,20794.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 18:15:00,20808.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 10:45:00,20793.0,15,0.0,0.0,0.0,8.0,0.0,8.0
2022-03-13 14:43:00,20754.0,2,3.0,3.0,3.0,5.0,2.0,3.0
2022-03-13 18:45:00,20760.0,15,0.0,0.0,0.0,2.0,1.0,1.0
2022-03-14 04:30:00,20759.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-13 02:00:00,20748.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 09:45:00,20772.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 22:30:00,20774.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-13 06:45:00,20752.0,15,1.0,1.0,1.0,1.0,1.0,0.0
2022-03-11 18:15:00,20826.0,15,0.0,0.0,0.0,2.0,1.0,1.0
2022-03-14 21:00:00,20813.0,15,1.0,1.0,1.0,1.0,0.0,1.0
2022-03-12 13:45:00,20780.0,15,1.0,1.0,1.0,3.0,0.0,3.0
2022-03-12 05:00:00,20831.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 13:15:00,20776.0,15,0.0,0.0,0.0,8.0,0.0,8.0
2022-03-13 12:00:00,20783.0,15,0.0,0.0,0.0,9.0,9.0,0.0
2022-03-11 12:30:00,20805.0,15,5.0,5.0,5.0,32.0,6.0,25.0
2022-03-12 14:45:00,20814.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 22:00:00,20780.0,15,8.0,8.0,8.0,9.0,2.0,5.0
2022-03-12 20:15:00,20810.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-11 00:30:00,20769.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 15:45:00,20772.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 21:45:00,20758.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-11 14:15:00,20825.0,15,0.0,0.0,0.0,10.0,3.0,7.0
2022-03-11 21:45:00,20831.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 11:45:00,20781.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 22:45:00,20758.0,15,1.0,1.0,1.0,2.0,2.0,0.0
2022-03-12 21:30:00,20789.0,15,0.0,0.0,0.0,1.0,1.0,0.0
2022-03-11 02:00:00,20808.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 12:00:00,20795.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-13 08:15:00,20822.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-11 04:15:00,20815.0,15,0.0,0.0,0.0,12.0,0.0,12.0
2022-03-13 20:45:00,20797.0,15,0.0,0.0,0.0,0.0,0.0,0.0
