begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,UL_PRB_UTIL_TTI_MEAN
2022-03-12,"MRBTS-5200,LNBTS-5200,LNCEL-21,MCC-619,MNC-05",812.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.6944444444444444,15.0
2022-03-15,"MRBTS-5200,LNBTS-5200,LNCEL-21,MCC-619,MNC-05",812.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.1388888888888889,85.0
2022-03-19,"MRBTS-5200,LNBTS-5200,LNCEL-21,MCC-619,MNC-05",812.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,1.1111111111111112,151.5
2022-03-11,"MRBTS-5200,LNBTS-5200,LNCEL-21,MCC-619,MNC-05",812.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.9027777777777778,116.0
2022-03-15,"MRBTS-5200,LNBTS-5200,LNCEL-31,MCC-619,MNC-05",786.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.1388888888888889,66.0
2022-03-12,"MRBTS-5200,LNBTS-5200,LNCEL-31,MCC-619,MNC-05",786.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.6944444444444444,72.0
2022-03-19,"MRBTS-5200,LNBTS-5200,LNCEL-31,MCC-619,MNC-05",786.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,1.1111111111111112,156.5
2022-03-11,"MRBTS-5200,LNBTS-5200,LNCEL-31,MCC-619,MNC-05",786.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.9027777777777778,226.0
2022-03-12,"MRBTS-5084,LNBTS-5084,LNCEL-1,MCC-619,MNC-05",807.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.3472222222222222,32.0
2022-03-17,"MRBTS-5084,LNBTS-5084,LNCEL-1,MCC-619,MNC-05",807.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,6.0
2022-03-17,"MRBTS-5045,LNBTS-5045,LNCEL-11,MCC-619,MNC-05",809.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4861111111111111,5.0
2022-03-17,"MRBTS-5045,LNBTS-5045,LNCEL-2,MCC-619,MNC-05",816.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4861111111111111,85.0
2022-03-17,"MRBTS-5090,LNBTS-5090,LNCEL-21,MCC-619,MNC-05",804.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,85.0
2022-03-17,"MRBTS-5050,LNBTS-5050,LNCEL-21,MCC-619,MNC-05",820.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,11.0
2022-03-17,"MRBTS-5044,LNBTS-5044,LNCEL-1,MCC-619,MNC-05",814.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.3472222222222222,97.0
2022-03-17,"MRBTS-5044,LNBTS-5044,LNCEL-31,MCC-619,MNC-05",815.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.3472222222222222,2.0
2022-03-17,"MRBTS-5044,LNBTS-5044,LNCEL-2,MCC-619,MNC-05",822.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.3472222222222222,73.0
2022-03-17,"MRBTS-5050,LNBTS-5050,LNCEL-31,MCC-619,MNC-05",824.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,4.0
2022-03-17,"MRBTS-5044,LNBTS-5044,LNCEL-11,MCC-619,MNC-05",823.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.3472222222222222,3.0
2022-03-17,"MRBTS-5084,LNBTS-5084,LNCEL-2,MCC-619,MNC-05",800.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,24.0
2022-03-12,"MRBTS-5084,LNBTS-5084,LNCEL-2,MCC-619,MNC-05",800.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.3472222222222222,54.0
2022-03-17,"MRBTS-5083,LNBTS-5083,LNCEL-1,MCC-619,MNC-05",808.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,16.0
2022-03-17,"MRBTS-5044,LNBTS-5044,LNCEL-21,MCC-619,MNC-05",806.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.3472222222222222,1.0
2022-03-17,"MRBTS-5050,LNBTS-5050,LNCEL-3,MCC-619,MNC-05",805.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,17.0
2022-03-17,"MRBTS-5089,LNBTS-5089,LNCEL-1,MCC-619,MNC-05",811.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,2.0
2022-03-17,"MRBTS-5045,LNBTS-5045,LNCEL-31,MCC-619,MNC-05",787.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4861111111111111,65.0
2022-03-17,"MRBTS-5083,LNBTS-5083,LNCEL-2,MCC-619,MNC-05",791.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,9.0
