begintime,sk_object,duration,integrity,M51352C0,M51352C1,M51352C6,M51352C7,M51352C8,M51352C9
2022-03-11,15728.0,1440.0,100.0,21002862790.0,84503051.0,0.0,0.0,0.0,0.0
2022-03-11,15702.0,1440.0,100.0,4158806753.0,18141369.0,0.0,0.0,0.0,0.0
2022-03-11,15721.0,1440.0,100.0,31256031372.0,137476377.0,0.0,0.0,0.0,0.0
2022-03-19,15709.0,1380.0,95.83333333333333,53260551052.0,196357645.0,0.0,0.0,0.0,0.0
2022-03-17,15702.0,1440.0,100.0,4244624413.0,19239815.0,0.0,0.0,0.0,0.0
2022-03-11,15695.0,1440.0,100.0,15155545863.0,68106970.0,0.0,0.0,0.0,0.0
2022-03-16,15719.0,1440.0,100.0,6663433952.0,27527004.0,0.0,0.0,0.0,0.0
2022-03-12,15727.0,1440.0,100.0,40513439393.0,182796964.0,0.0,0.0,0.0,0.0
2022-03-13,15703.0,1440.0,100.0,8735578046.0,39864857.0,0.0,0.0,0.0,0.0
2022-03-15,15702.0,1440.0,100.0,4920937221.0,26076250.0,0.0,0.0,0.0,0.0
2022-03-17,15703.0,1440.0,100.0,10076262745.0,47946144.0,0.0,0.0,0.0,0.0
2022-03-17,15719.0,1378.0,95.69444444444444,15233958599.0,34136425.0,0.0,0.0,0.0,0.0
2022-03-19,15696.0,1380.0,95.83333333333333,8684032000.0,32781925.0,0.0,0.0,0.0,0.0
2022-03-17,15708.0,1380.0,95.83333333333333,22266960622.0,88423089.0,0.0,0.0,0.0,0.0
2022-03-12,15710.0,1440.0,100.0,10856914019.0,45470769.0,0.0,0.0,0.0,0.0
2022-03-12,15725.0,1440.0,100.0,48098129510.0,208589478.0,0.0,0.0,0.0,0.0
2022-03-12,15711.0,1440.0,100.0,25847568814.0,101786314.0,0.0,0.0,0.0,0.0
2022-03-19,15694.0,1310.0,90.97222222222223,4866531053.0,21140367.0,0.0,0.0,0.0,0.0
2022-03-18,15698.0,1440.0,100.0,29389346687.0,137324461.0,0.0,0.0,0.0,0.0
2022-03-17,15696.0,1380.0,95.83333333333333,6416473292.0,33349312.0,0.0,0.0,0.0,0.0
2022-03-15,15715.0,1440.0,100.0,59936028891.0,256560611.0,0.0,0.0,0.0,0.0
2022-03-16,15699.0,1440.0,100.0,62537836129.0,265733386.0,0.0,0.0,0.0,0.0
2022-03-18,15717.0,1440.0,100.0,14438936188.0,62722174.0,0.0,0.0,0.0,0.0
2022-03-12,15713.0,1440.0,100.0,7609713677.0,30111753.0,0.0,0.0,0.0,0.0
2022-03-19,15717.0,1310.0,90.97222222222223,16771198129.0,63575661.0,0.0,0.0,0.0,0.0
2022-03-16,15721.0,1440.0,100.0,28200397171.0,123957986.0,0.0,0.0,0.0,0.0
2022-03-11,15699.0,1440.0,100.0,67767493236.0,289968935.0,0.0,0.0,0.0,0.0
2022-03-12,15717.0,1440.0,100.0,12785884702.0,61039352.0,0.0,0.0,0.0,0.0
2022-03-13,15713.0,1440.0,100.0,8090952014.0,32169973.0,0.0,0.0,0.0,0.0
2022-03-13,15726.0,1440.0,100.0,30710189196.0,143381545.0,0.0,0.0,0.0,0.0
2022-03-18,15701.0,1380.0,95.83333333333333,74253514454.0,294755996.0,0.0,0.0,0.0,0.0
2022-03-15,15712.0,1440.0,100.0,14597636521.0,58447294.0,0.0,0.0,0.0,0.0
2022-03-17,15727.0,1380.0,95.83333333333333,44333571126.0,204355857.0,0.0,0.0,0.0,0.0
2022-03-17,15714.0,1440.0,100.0,1208670368.0,9558864.0,0.0,0.0,0.0,0.0
2022-03-18,15719.0,1440.0,100.0,7296729613.0,29192995.0,0.0,0.0,0.0,0.0
2022-03-14,15698.0,1440.0,100.0,26992579300.0,129116230.0,0.0,0.0,0.0,0.0
2022-03-14,15692.0,1440.0,100.0,61552577226.0,264428265.0,0.0,0.0,0.0,0.0
2022-03-19,15726.0,1250.0,86.80555555555556,27355191817.0,118177290.0,0.0,0.0,0.0,0.0
2022-03-14,15702.0,1440.0,100.0,6074067284.0,23715976.0,0.0,0.0,0.0,0.0
2022-03-19,15712.0,1380.0,95.83333333333333,18148929641.0,61881436.0,0.0,0.0,0.0,0.0
2022-03-19,15716.0,1380.0,95.83333333333333,53260539971.0,196357604.0,0.0,0.0,0.0,0.0
2022-03-13,15698.0,1440.0,100.0,30710179442.0,143381521.0,0.0,0.0,0.0,0.0
2022-03-13,15695.0,1440.0,100.0,11386345380.0,53914448.0,0.0,0.0,0.0,0.0
2022-03-11,15711.0,1440.0,100.0,23841879048.0,98257293.0,0.0,0.0,0.0,0.0
2022-03-19,15727.0,1320.0,91.66666666666667,46874206020.0,196418692.0,0.0,0.0,0.0,0.0
2022-03-19,15711.0,1380.0,95.83333333333333,26877557382.0,101683935.0,0.0,0.0,0.0,0.0
2022-03-14,15725.0,1440.0,100.0,43776165074.0,201979490.0,0.0,0.0,0.0,0.0
2022-03-11,15708.0,1440.0,100.0,20370020441.0,86217034.0,0.0,0.0,0.0,0.0
2022-03-12,15700.0,1440.0,100.0,25847568380.0,101786315.0,0.0,0.0,0.0,0.0
2022-03-18,15707.0,1440.0,100.0,3024111540.0,14224991.0,0.0,0.0,0.0,0.0
2022-03-18,15726.0,1440.0,100.0,29389343991.0,137324438.0,0.0,0.0,0.0,0.0
2022-03-19,15706.0,1380.0,95.83333333333333,18148923218.0,61881427.0,0.0,0.0,0.0,0.0
2022-03-17,15718.0,1440.0,100.0,68704343668.0,254807693.0,0.0,0.0,0.0,0.0
