begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,L.Thrp.Time.UE.UL.RmvSmallPkt.PL0,L.Thrp.Time.UE.UL.RmvSmallPkt.PL1,L.Thrp.Time.UE.UL.RmvSmallPkt.PL2,L.Thrp.Time.UE.UL.RmvSmallPkt.PL3
2022-02-02,"4G_KISSYBARRACKS/Cell:eNodeB Function Name=4G_KISSYBARRACKS,Local Cell ID=2,Cell Name=4G_KISSYBARRACKS-2,eNodeB ID=5052,Cell FDD TDD indication=CELL_FDD",808731.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,834376240592.0,95139.0,214210.0,306295.0,584330.0
2022-02-02,"4G_COLLEGIATESCHOOL_II/Cell:eNodeB Function Name=4G_COLLEGIATESCHOOL_II,Local Cell ID=3,Cell Name=4G_COLLEGIATESCHOOL_II-3,eNodeB ID=5017,Cell FDD TDD indication=CELL_FDD",808732.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,737477201224.0,129364.0,1036950.0,511002.0,503892.0
2022-02-02,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=2,Cell Name=4G_BINTUMANI-2,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",808733.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,139842947928.0,48404.0,49897.0,58306.0,86447.0
2022-02-02,"4G_SPURROAD_II/Cell:eNodeB Function Name=4G_SPURROAD_II,Local Cell ID=7,Cell Name=4G_SPURROAD_II-7,eNodeB ID=5001,Cell FDD TDD indication=CELL_FDD",808734.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,20277391552.0,17852.0,21853.0,365507.0,55381.0
2022-02-02,"4G_TIHUN/Cell:eNodeB Function Name=4G_TIHUN,Local Cell ID=1,Cell Name=4G_TIHUN-1,eNodeB ID=5101,Cell FDD TDD indication=CELL_FDD",808790.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,3529059048.0,0.0,0.0,0.0,175.0
2022-02-02,"4G_KISSYHOUSE/Cell:eNodeB Function Name=4G_KISSYHOUSE,Local Cell ID=3,Cell Name=4G_KISSYHOUSE-3,eNodeB ID=5053,Cell FDD TDD indication=CELL_FDD",808736.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,449865488936.0,926066.0,1666590.0,2754717.0,2006412.0
2022-02-02,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=6,Cell Name=4G_ALLENTOWN-6,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808740.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,403299891528.0,491808.0,276369.0,313530.0,498013.0
2022-02-02,"4G_WILKINSONROAD/Cell:eNodeB Function Name=4G_WILKINSONROAD,Local Cell ID=3,Cell Name=4G_WILKINSONROAD-3,eNodeB ID=5005,Cell FDD TDD indication=CELL_FDD",808741.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,346101030856.0,64398.0,78035.0,207608.0,509478.0
2022-02-02,"4G_KISSYHOUSE/Cell:eNodeB Function Name=4G_KISSYHOUSE,Local Cell ID=7,Cell Name=4G_KISSYHOUSE-7,eNodeB ID=5053,Cell FDD TDD indication=CELL_FDD",808742.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,1207126081184.0,1007934.0,440663.0,700187.0,3178592.0
2022-02-02,"4G_DAMAROAD/Cell:eNodeB Function Name=4G_DAMAROAD,Local Cell ID=2,Cell Name=4G_DAMAROAD-2,eNodeB ID=5043,Cell FDD TDD indication=CELL_FDD",808751.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,275864907040.0,35707.0,48363.0,70475.0,148070.0
2022-02-02,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN,Local Cell ID=1,Cell Name=4G_CLINETOWN-1,eNodeB ID=5029,Cell FDD TDD indication=CELL_FDD",808752.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,882508011728.0,98090.0,222103.0,483370.0,1478723.0
2022-02-02,"4G_MURRAYTOWNBARRACKS/Cell:eNodeB Function Name=4G_MURRAYTOWNBARRACKS,Local Cell ID=6,Cell Name=4G_MURRAYTOWNBARRACKS-6,eNodeB ID=5012,Cell FDD TDD indication=CELL_FDD",808753.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,273573944144.0,147955.0,34816.0,27574.0,80950.0
2022-02-02,"4G_SEFADUCENTRAL/Cell:eNodeB Function Name=4G_SEFADUCENTRAL,Local Cell ID=1,Cell Name=4G_SEFADUCENTRAL-1,eNodeB ID=5061,Cell FDD TDD indication=CELL_FDD",808754.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,746211167672.0,35624.0,81287.0,207876.0,456087.0
2022-02-02,"4G_WILKINSONROAD/Cell:eNodeB Function Name=4G_WILKINSONROAD,Local Cell ID=2,Cell Name=4G_WILKINSONROAD-2,eNodeB ID=5005,Cell FDD TDD indication=CELL_FDD",808755.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,297252754224.0,89708.0,46335.0,117606.0,255168.0
2022-02-02,"4G_GODERICH/Cell:eNodeB Function Name=4G_GODERICH,Local Cell ID=8,Cell Name=4G_GODERICH-8,eNodeB ID=5016,Cell FDD TDD indication=CELL_FDD",808756.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,625012929328.0,212010.0,288527.0,498111.0,738330.0
2022-02-02,"4G_HILLSTATION/Cell:eNodeB Function Name=4G_HILLSTATION,Local Cell ID=1,Cell Name=4G_HILLSTATION-1,eNodeB ID=5064,Cell FDD TDD indication=CELL_FDD",808757.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,828317931976.0,202940.0,249405.0,731465.0,656624.0
2022-02-02,"4G_SWISSHOTEL/Cell:eNodeB Function Name=4G_SWISSHOTEL,Local Cell ID=3,Cell Name=4G_SWISSHOTEL-3,eNodeB ID=5055,Cell FDD TDD indication=CELL_FDD",808758.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,416044000592.0,123272.0,146980.0,270055.0,985433.0
2022-02-02,"4G_MMCE/Cell:eNodeB Function Name=4G_MMCE,Local Cell ID=7,Cell Name=4G_MMCE-7,eNodeB ID=5009,Cell FDD TDD indication=CELL_FDD",808759.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,881126471064.0,26330.0,26470.0,446468.0,2776046.0
2022-02-02,"4G_GODRECHSTREET/Cell:eNodeB Function Name=4G_GODRECHSTREET,Local Cell ID=3,Cell Name=4G_GODRECHSTREET-3,eNodeB ID=5019,Cell FDD TDD indication=CELL_FDD",808761.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,482522001776.0,627359.0,556533.0,901930.0,655481.0
2022-02-02,"4G_OAU_II/Cell:eNodeB Function Name=4G_OAU_II,Local Cell ID=8,Cell Name=4G_OAU_II-8,eNodeB ID=5013,Cell FDD TDD indication=CELL_FDD",808762.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,155770894224.0,22553.0,33267.0,45461.0,79402.0
2022-02-02,"4G_KISSYSHELL_II/Cell:eNodeB Function Name=4G_KISSYSHELL_II,Local Cell ID=6,Cell Name=4G_KISSYSHELL_II-6,eNodeB ID=5037,Cell FDD TDD indication=CELL_FDD",808763.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,361164209904.0,34864.0,70718.0,162393.0,358362.0
2022-02-02,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=7,Cell Name=4G_KISSYROAD-7,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808764.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,397225455088.0,190299.0,205401.0,305331.0,667722.0
2022-02-02,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=3,Cell Name=4G_KISSYROAD-3,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808765.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,884677727160.0,128053.0,208186.0,435512.0,881930.0
