begintime,sk_object,duration,integrity,1593835641,1593835642,1593835643,1593835644,1593835645,1593835646,1593835849,1593835850,1593835851,1593835852
2022-02-13 05:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.233334,,,,
2022-02-12 18:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.9625,,,,
2022-03-07 21:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.528334,,,,
2022-02-10 12:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.386666,,,,
2022-03-03 17:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.815,,,,
2022-02-19 08:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.118333,,,,
2022-03-10 12:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.761666,,,,
2022-02-08 04:00:00,878515.0,3600.0,100.0,,,,,1201.0,10.530392,,,,
2022-03-12 17:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.888333,,,,
2022-02-04 19:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.821667,,,,
2022-03-01 04:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.270833,,,,
2022-03-13 13:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.415833,,,,
2022-02-04 11:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.6925,,,,
2022-03-13 00:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.846666,,,,
2022-02-08 06:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.425834,,,,
2022-02-05 08:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.9441671,,,,
2022-02-13 07:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.145,,,,
2022-03-14 17:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.549167,,,,
2022-02-11 04:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.3325,,,,
2022-02-17 18:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.815833,,,,
2022-02-18 08:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.0475,,,,
2022-03-14 15:00:00,878516.0,3600.0,100.0,,,,,1200.0,11.341666,,,,
