begintime,sk_object,duration,integrity,M51326C0,M51326C1,M51326C2,M51326C3
2022-03-11 06:00:00,15639.0,60.0,100.0,242739.0,16661164.0,176065.0,14359472.0
2022-03-11 09:00:00,15629.0,60.0,100.0,343881.0,24269036.0,240645.0,19388992.0
2022-03-11 04:00:00,15635.0,60.0,100.0,209927.0,14026604.0,153853.0,12876420.0
2022-03-11 02:00:00,15630.0,60.0,100.0,94191.0,6022524.0,62076.0,5085724.0
2022-03-11 12:00:00,15635.0,60.0,100.0,370453.0,28279344.0,280695.0,23470340.0
2022-03-11 07:00:00,15636.0,60.0,100.0,360291.0,25769552.0,199664.0,10350736.0
2022-03-11 11:00:00,15635.0,60.0,100.0,374634.0,28683088.0,286371.0,23722380.0
2022-03-11 09:00:00,15644.0,60.0,100.0,642302.0,48729728.0,408314.0,30481352.0
2022-03-11 02:00:00,15629.0,60.0,100.0,173241.0,11313632.0,122721.0,10196044.0
2022-03-11 00:00:00,15645.0,60.0,100.0,96847.0,6703792.0,54520.0,2815956.0
2022-03-11 06:00:00,15632.0,60.0,100.0,248312.0,17243056.0,133865.0,5930728.0
2022-03-11 12:00:00,15628.0,60.0,100.0,416106.0,29800100.0,219330.0,8699236.0
2022-03-11 01:00:00,15632.0,60.0,100.0,206770.0,14276684.0,111746.0,5071592.0
2022-03-11 05:00:00,15632.0,60.0,100.0,200168.0,13855372.0,107904.0,4828608.0
2022-03-11 09:00:00,15628.0,60.0,100.0,432992.0,31079648.0,228609.0,9538996.0
2022-03-11 02:00:00,15634.0,60.0,100.0,304601.0,20358208.0,191905.0,12999128.0
2022-03-11 08:00:00,15636.0,60.0,100.0,430394.0,31021232.0,239533.0,12668420.0
2022-03-11 05:00:00,15634.0,60.0,100.0,329449.0,22092704.0,208048.0,14604420.0
2022-03-11 10:00:00,15629.0,60.0,100.0,357248.0,25352060.0,250688.0,20099572.0
2022-03-11 10:00:00,15628.0,60.0,100.0,407879.0,29248752.0,215447.0,8873316.0
2022-03-11 05:00:00,15644.0,60.0,100.0,290889.0,19861592.0,177786.0,11809996.0
2022-03-11 11:00:00,15629.0,60.0,100.0,349258.0,24758380.0,246036.0,19922596.0
2022-03-11 03:00:00,15634.0,60.0,100.0,295120.0,19621328.0,186230.0,12734828.0
2022-03-11 10:00:00,15638.0,60.0,100.0,429475.0,30566776.0,230936.0,10413184.0
2022-03-11 05:00:00,15640.0,60.0,100.0,314096.0,21548724.0,195827.0,13203848.0
2022-03-11 12:00:00,15627.0,60.0,100.0,665000.0,46324100.0,428175.0,29866324.0
2022-03-11 03:00:00,15628.0,60.0,100.0,173448.0,12211548.0,91563.0,3589684.0
2022-03-11 07:00:00,15635.0,60.0,100.0,337864.0,24511312.0,255799.0,21792328.0
2022-03-11 00:00:00,15641.0,60.0,100.0,146658.0,9866652.0,92076.0,6239360.0
2022-03-11 04:00:00,15633.0,60.0,100.0,175004.0,12420272.0,90122.0,3111232.0
2022-03-11 03:00:00,15627.0,60.0,100.0,352087.0,23563024.0,233925.0,18132732.0
2022-03-11 10:00:00,15640.0,60.0,100.0,694513.0,50949660.0,451691.0,33171832.0
2022-03-11 11:00:00,15644.0,60.0,100.0,615195.0,46321272.0,385986.0,27687228.0
2022-03-11 03:00:00,15637.0,60.0,100.0,140691.0,9093724.0,94355.0,7597344.0
2022-03-11 05:00:00,15638.0,60.0,100.0,185105.0,13013884.0,98105.0,4099984.0
2022-03-11 09:00:00,15627.0,60.0,100.0,710116.0,49478396.0,463976.0,34660488.0
