begintime,sk_object,duration,integrity,1282449671,1282449672,1282449673,1282449674
2022-03-03,629624.0,86400.0,100.0,1500.64417125,2233.2651,2390.6713875,3736.3424
2022-03-03,630214.0,86400.0,100.0,640.35511307875,1568.6135,1335.2111537583332,3069.0303
2022-02-18,629822.0,86400.0,100.0,1516.3742620833334,2417.9465,3024.263033333333,4758.5351
2022-03-13,629700.0,75600.0,87.5,1393.6589233333334,2054.2209,2347.3490952380953,3416.8557
2022-02-06,630139.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-06,502017.0,79200.0,91.66666666666667,2579.8233522727273,3579.1895,4393.278963636363,6080.2735
2022-03-06,630139.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0
2022-02-08,630332.0,86400.0,100.0,1361.0901958333334,2201.5503,2093.0785258333335,3120.0043
2022-02-17,630406.0,75600.0,87.5,0.0,0.0,0.0,0.0
2022-03-03,630276.0,86400.0,100.0,126.04305641666667,565.12227,333.198115875,805.12573
2022-02-18,630374.0,86400.0,100.0,922.26157125,1783.6888,1736.0248983333333,2935.9197
2022-02-11,629729.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-17,630162.0,75600.0,87.5,0.0,0.0,0.0,0.0
2022-02-04,629829.0,86400.0,100.0,101.66794830416667,329.6652,273.344825,685.24507
2022-03-03,629626.0,86400.0,100.0,434.47089229166664,985.53933,931.1097333333333,1721.7145
2022-02-12,629942.0,86400.0,100.0,647.8952908333333,1273.6885,1391.9943429166667,2681.7913
2022-02-11,629761.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-13,629750.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-10,629890.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-17,630024.0,75600.0,87.5,269.205617952381,634.212,575.9018790476191,1138.1567
2022-03-12,630177.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0
2022-02-20,630229.0,86400.0,100.0,68.14589908333333,247.94173,244.85126166666666,605.97573
2022-03-15,629874.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0
2022-03-13,629894.0,75600.0,87.5,1683.0889176190476,3123.2705,2745.678249047619,4533.7449
2022-02-05,501674.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-06,629727.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0
2022-03-13,629855.0,75600.0,87.5,830.7350380952381,1677.2591,1748.0606123809523,2952.5516
2022-02-04,629757.0,86400.0,100.0,434.300216125,966.2568,831.69898,1649.0244
2022-03-12,501745.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0
2022-02-04,630339.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-07,629618.0,82800.0,95.83333333333333,439.73897,846.29747,960.1699678260869,1790.0943
2022-02-19,630107.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-05,630180.0,86400.0,100.0,351.074070125,965.22493,787.06095,1924.8929
2022-03-03,630148.0,86400.0,100.0,288.19853133333334,843.218,681.0817979166667,1610.2708
2022-03-06,629971.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0
2022-02-04,630267.0,86400.0,100.0,924.2846505416667,2073.0036,1421.7549108333333,2456.7361
2022-02-20,629762.0,86400.0,100.0,287.8592639166667,679.2944,681.6869629166666,1438.4961
2022-02-18,629970.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-19,501489.0,86400.0,100.0,1614.9512708333334,2794.6128,2646.3223166666667,3681.9228
2022-03-06,630038.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0
2022-02-10,501674.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-20,630401.0,86400.0,100.0,785.5473608333333,1334.6212,1673.67242875,2746.4255
2022-02-03,629727.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-10,629755.0,79200.0,91.66666666666667,1287.2797636363637,2102.5028,2156.032823181818,3418.0461
2022-03-12,629968.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0
2022-02-12,630061.0,86400.0,100.0,1007.6971483333333,1581.846,1734.5801970833334,2617.8951
2022-03-11,629894.0,86400.0,100.0,2045.5499604166666,3185.1772,3254.240279166667,4638.4041
2022-03-15,630016.0,82800.0,95.83333333333333,107.86801547826087,370.52053,257.3590446956522,777.21227
2022-02-05,630158.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-10,630016.0,79200.0,91.66666666666667,133.34900954545455,480.84427,298.2743305,866.55667
2022-02-11,630126.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-12,630063.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-19,630343.0,86400.0,100.0,2036.3282529166668,3832.1672,3644.822704166667,5542.6605
2022-02-20,501675.0,86400.0,100.0,303.42859475,660.94373,624.7503816666666,1204.4667
2022-02-05,502012.0,86400.0,100.0,2515.7950816666666,4234.5347,3887.9775291666665,6241.1441
2022-03-07,600197.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0
2022-03-14,630246.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-10,630244.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0
2022-02-10,630030.0,86400.0,100.0,1839.2062479166666,2674.8948,2868.3268125,4087.5665
2022-02-08,629972.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-13,630066.0,75600.0,87.5,119.16656817619048,408.2016,380.52797,972.89173
2022-02-10,502103.0,86400.0,100.0,367.71173641666667,668.66933,760.17285,1514.7088
2022-02-18,600341.0,86400.0,100.0,2023.5600966666666,3115.822,3475.9356125,5167.9319
2022-03-03,629907.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-08,629965.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-03,630113.0,86400.0,100.0,1279.72957875,2672.9661,2757.10722,4623.8819
2022-03-12,630134.0,68400.0,79.16666666666667,178.72240215789475,434.90653,420.4992594736842,851.0544
2022-02-10,630108.0,86400.0,100.0,1085.4302966666667,1963.9881,2056.491647916667,3747.7187
2022-02-19,630113.0,86400.0,100.0,1285.48117125,2772.3476,2750.465455833333,4808.85
2022-03-11,630339.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-12,630113.0,68400.0,79.16666666666667,1301.8409484210526,2383.7347,2462.3759842105264,4186.2496
2022-02-03,629966.0,86400.0,100.0,305.279207,774.414,638.3086845833334,1356.0385
2022-03-14,629850.0,86400.0,100.0,245.140968875,577.70987,540.1293175,1114.5164
