NE Name,fdn,BTSID,BTSNAME,ISSUPERBTS,MOIndex,className,name,neID
FTBSC02,"NE=280,BTSOTHPARA=257",257,ADONKIA,NO,26_257,BSC6900GSMBTSOTHPARA,BTS Index=257,26
FTBSC02,"NE=280,BTSOTHPARA=258",258,BAFODIA_RPT,NO,26_258,BSC6900GSMBTSOTHPARA,BTS Index=258,26
FTBSC02,"NE=280,BTSOTHPARA=58",58,MMCE,NO,26_58,BSC6900GSMBTSOTHPARA,BTS Index=58,26
FTBSC02,"NE=280,BTSOTHPARA=62",62,WILBERFORCEMSC,NO,26_62,BSC6900GSMBTSOTHPARA,BTS Index=62,26
FTBSC02,"NE=280,BTSOTHPARA=57",57,LESTERPEAK_II,NO,26_57,BSC6900GSMBTSOTHPARA,BTS Index=57,26
FTBSC02,"NE=280,BTSOTHPARA=69",69,HILLCUTROAD_II,NO,26_69,BSC6900GSMBTSOTHPARA,BTS Index=69,26
FTBSC02,"NE=280,BTSOTHPARA=70",70,IMATT_II,NO,26_70,BSC6900GSMBTSOTHPARA,BTS Index=70,26
FTBSC02,"NE=280,BTSOTHPARA=71",71,KINGHARMAN,NO,26_71,BSC6900GSMBTSOTHPARA,BTS Index=71,26
FTBSC02,"NE=280,BTSOTHPARA=76",76,SPURLOOP_II,NO,26_76,BSC6900GSMBTSOTHPARA,BTS Index=76,26
FTBSC02,"NE=280,BTSOTHPARA=192",192,SEWAFE,NO,26_192,BSC6900GSMBTSOTHPARA,BTS Index=192,26
FTBSC02,"NE=280,BTSOTHPARA=100",100,BAGBEMA,NO,26_100,BSC6900GSMBTSOTHPARA,BTS Index=100,26
FTBSC02,"NE=280,BTSOTHPARA=109",109,MAKALI,NO,26_109,BSC6900GSMBTSOTHPARA,BTS Index=109,26
FTBSC02,"NE=280,BTSOTHPARA=104",104,KAMAKWI,NO,26_104,BSC6900GSMBTSOTHPARA,BTS Index=104,26
FTBSC02,"NE=280,BTSOTHPARA=118",118,ROGBIN,NO,26_118,BSC6900GSMBTSOTHPARA,BTS Index=118,26
FTBSC02,"NE=280,BTSOTHPARA=182",182,MANOJUNCTION,NO,26_182,BSC6900GSMBTSOTHPARA,BTS Index=182,26
FTBSC02,"NE=280,BTSOTHPARA=91",91,SWISSHOTEL,NO,26_91,BSC6900GSMBTSOTHPARA,BTS Index=91,26
FTBSC02,"NE=280,BTSOTHPARA=210",210,KAMABAI,NO,26_210,BSC6900GSMBTSOTHPARA,BTS Index=210,26
FTBSC02,"NE=280,BTSOTHPARA=94",94,MURRAYTOWNBARRACKS,NO,26_94,BSC6900GSMBTSOTHPARA,BTS Index=94,26
FTBSC02,"NE=280,BTSOTHPARA=214",214,GBANDI,NO,26_214,BSC6900GSMBTSOTHPARA,BTS Index=214,26
FTBSC02,"NE=280,BTSOTHPARA=225",225,PENDUMA,NO,26_225,BSC6900GSMBTSOTHPARA,BTS Index=225,26
FTBSC02,"NE=280,BTSOTHPARA=54",54,JUBA,NO,26_54,BSC6900GSMBTSOTHPARA,BTS Index=54,26
FTBSC02,"NE=280,BTSOTHPARA=73",73,MALAMA_II,NO,26_73,BSC6900GSMBTSOTHPARA,BTS Index=73,26
FTBSC02,"NE=280,BTSOTHPARA=74",74,MARJAYTOWN_II,NO,26_74,BSC6900GSMBTSOTHPARA,BTS Index=74,26
FTBSC02,"NE=280,BTSOTHPARA=123",123,YENGEMA,NO,26_123,BSC6900GSMBTSOTHPARA,BTS Index=123,26
FTBSC02,"NE=280,BTSOTHPARA=134",134,TANKORO_II,NO,26_134,BSC6900GSMBTSOTHPARA,BTS Index=134,26
FTBSC02,"NE=280,BTSOTHPARA=107",107,MAGBAS,NO,26_107,BSC6900GSMBTSOTHPARA,BTS Index=107,26
FTBSC02,"NE=280,BTSOTHPARA=108",108,MAGBURAKA,NO,26_108,BSC6900GSMBTSOTHPARA,BTS Index=108,26
FTBSC02,"NE=280,BTSOTHPARA=129",129,MAGBURAKA_II,NO,26_129,BSC6900GSMBTSOTHPARA,BTS Index=129,26
FTBSC02,"NE=280,BTSOTHPARA=130",130,MATOTOKA_II,NO,26_130,BSC6900GSMBTSOTHPARA,BTS Index=130,26
FTBSC02,"NE=280,BTSOTHPARA=101",101,BUMBUNA,NO,26_101,BSC6900GSMBTSOTHPARA,BTS Index=101,26
FTBSC02,"NE=280,BTSOTHPARA=138",138,FARANGBAYA,NO,26_138,BSC6900GSMBTSOTHPARA,BTS Index=138,26
FTBSC02,"NE=280,BTSOTHPARA=139",139,FARANGBAYA_II,NO,26_139,BSC6900GSMBTSOTHPARA,BTS Index=139,26
FTBSC02,"NE=280,BTSOTHPARA=194",194,WAXTON,NO,26_194,BSC6900GSMBTSOTHPARA,BTS Index=194,26
FTBSC02,"NE=280,BTSOTHPARA=196",196,SILLAHSTREET,NO,26_196,BSC6900GSMBTSOTHPARA,BTS Index=196,26
FTBSC02,"NE=280,BTSOTHPARA=144",144,BOHILL,NO,26_144,BSC6900GSMBTSOTHPARA,BTS Index=144,26
FTBSC02,"NE=280,BTSOTHPARA=145",145,BOTOWN,NO,26_145,BSC6900GSMBTSOTHPARA,BTS Index=145,26
FTBSC02,"NE=280,BTSOTHPARA=169",169,BARGBORHILL_II,NO,26_169,BSC6900GSMBTSOTHPARA,BTS Index=169,26
FTBSC02,"NE=280,BTSOTHPARA=147",147,GEREHUN_II,NO,26_147,BSC6900GSMBTSOTHPARA,BTS Index=147,26
FTBSC02,"NE=280,BTSOTHPARA=166",166,TINKONKO,NO,26_166,BSC6900GSMBTSOTHPARA,BTS Index=166,26
