begintime,ne_name,vendor,ne_type,sk_object,aggregation,integrity,ifInDiscardedMCastPackets,ifInOctets,ifOutMCastPackets,ifOutFragPackets,ifInMCastPackets,ifOutDroppedPackets,ifOutDroppedOctets,ifInErrors,ifOutFragments,ifInPackets,ifOutOctets,ifInMCastOctets,ifOutMCastOctets,ifInDiscardedMCastOctets,ifOutPackets
2022-03-11,"MRBTS-5078,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15491.0,dynamic,100.0,66832.0,109179024.0,0.0,0.0,66832.0,0.0,0.0,0.0,0.0,1498904.0,12993862.0,5199820.0,0.0,5199820.0,11575.0
2022-03-11,"MRBTS-5086,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15492.0,dynamic,100.0,66816.0,109178454.0,0.0,0.0,66816.0,0.0,0.0,0.0,0.0,1498691.0,12920638.0,5198586.0,0.0,5198586.0,11344.0
2022-03-11,"MRBTS-5085,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15493.0,dynamic,100.0,66798.0,108588092.0,0.0,0.0,66798.0,0.0,0.0,0.0,0.0,1490316.0,6616738.0,5197008.0,0.0,5197008.0,7242.0
2022-03-11,"MRBTS-5044,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15494.0,dynamic,100.0,65800.0,107572344.0,0.0,9.0,65800.0,0.0,0.0,0.0,9.0,1475750.0,13797467.0,5119054.0,0.0,5119054.0,15156.0
2022-03-11,"MRBTS-5081,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15495.0,dynamic,100.0,66823.0,109187054.0,0.0,0.0,66823.0,0.0,0.0,0.0,0.0,1498860.0,13325627.0,5199422.0,0.0,5199422.0,11541.0
2022-03-11,"MRBTS-5083,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15496.0,dynamic,100.0,65729.0,297893538.0,0.0,0.0,65729.0,0.0,0.0,0.0,0.0,3318377.0,134198800.0,5114386.0,0.0,5114386.0,1912940.0
2022-03-11,"MRBTS-5082,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15497.0,dynamic,100.0,66767.0,108956220.0,0.0,0.0,66767.0,0.0,0.0,0.0,0.0,1495401.0,6514322.0,5194896.0,0.0,5194896.0,6488.0
2022-03-11,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15498.0,dynamic,90.0,59722.0,1131878904.0,0.0,0.0,59722.0,0.0,0.0,0.0,0.0,12690029.0,777737072.0,4646568.0,0.0,4646568.0,8346803.0
2022-03-11,"MRBTS-5080,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15499.0,dynamic,100.0,66787.0,108637390.0,0.0,0.0,66787.0,0.0,0.0,0.0,0.0,1490693.0,7077594.0,5196404.0,0.0,5196404.0,7696.0
2022-03-11,"MRBTS-5091,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15500.0,dynamic,100.0,66800.0,109002902.0,0.0,0.0,66800.0,0.0,0.0,0.0,0.0,1496012.0,6672057.0,5197536.0,0.0,5197536.0,6620.0
2022-03-11,"MRBTS-5023,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15501.0,dynamic,100.0,66813.0,1348530056.0,0.0,0.0,66813.0,0.0,0.0,0.0,0.0,14407697.0,898974248.0,5198668.0,0.0,5198668.0,9612152.0
2022-03-11,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15502.0,dynamic,100.0,65134.0,145693909725.0,0.0,26.0,65134.0,0.0,0.0,0.0,52.0,123834154.0,20774088555.0,5067384.0,0.0,5067384.0,81750053.0
2022-03-11,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15503.0,dynamic,100.0,65098.0,106339210.0,0.0,10.0,65098.0,0.0,0.0,0.0,10.0,1459255.0,12903124.0,5064550.0,0.0,5064550.0,12867.0
2022-03-11,"MRBTS-5044,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15504.0,dynamic,100.0,65869.0,888408878.0,0.0,0.0,65869.0,0.0,0.0,0.0,0.0,9514128.0,768492824.0,5124942.0,0.0,5124942.0,7423386.0
2022-03-11,"MRBTS-5081,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15505.0,dynamic,100.0,66821.0,383487594450.0,0.0,6896.0,66821.0,0.0,0.0,0.0,13792.0,350434635.0,55540084356.0,5198848.0,0.0,5198848.0,256031530.0
2022-03-11,"MRBTS-5062,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15506.0,dynamic,100.0,65817.0,160974650637.0,0.0,0.0,65817.0,0.0,0.0,0.0,0.0,134682716.0,20099538954.0,5121104.0,0.0,5121104.0,83329776.0
2022-03-11,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15507.0,dynamic,100.0,65069.0,375847074.0,0.0,0.0,65069.0,0.0,0.0,0.0,0.0,4271381.0,215867528.0,5061954.0,0.0,5061954.0,2740104.0
2022-03-11,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15508.0,dynamic,100.0,66809.0,80863908165.0,0.0,1.0,66809.0,0.0,0.0,0.0,2.0,73452851.0,11786617795.0,5198394.0,0.0,5198394.0,49664589.0
2022-03-11,"MRBTS-5078,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15509.0,dynamic,100.0,66766.0,331394722935.0,0.0,65.0,66766.0,0.0,0.0,0.0,130.0,294800970.0,46701360312.0,5194632.0,0.0,5194632.0,211466842.0
2022-03-11,"MRBTS-5090,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15510.0,dynamic,100.0,65003.0,106680014.0,0.0,30.0,65003.0,0.0,0.0,0.0,30.0,1461616.0,14574199.0,5057916.0,0.0,5057916.0,18646.0
2022-03-11,"MRBTS-5085,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15511.0,dynamic,100.0,66793.0,706169454.0,0.0,0.0,66793.0,0.0,0.0,0.0,0.0,7755791.0,223089852.0,5196470.0,0.0,5196470.0,4091906.0
2022-03-11,"MRBTS-5045,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15512.0,dynamic,100.0,66786.0,637670588.0,0.0,0.0,66786.0,0.0,0.0,0.0,0.0,7102083.0,501757600.0,5196232.0,0.0,5196232.0,4956362.0
2022-03-12,"MRBTS-5062,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15456.0,dynamic,100.0,66310.0,409588686.0,0.0,0.0,66310.0,0.0,0.0,0.0,0.0,4603489.0,261462740.0,5159486.0,0.0,5159486.0,2863751.0
2022-03-12,"MRBTS-5045,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15457.0,dynamic,100.0,66535.0,311598256245.0,0.0,130.0,66535.0,0.0,0.0,0.0,260.0,271193628.0,52321981023.0,5176658.0,0.0,5176658.0,184721028.0
2022-03-12,"MRBTS-5023,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15481.0,dynamic,100.0,66989.0,348923851173.0,0.0,48561.0,66989.0,0.0,0.0,0.0,97122.0,307476510.0,53921216806.0,5211736.0,0.0,5211736.0,227494519.0
2022-03-12,"MRBTS-5090,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15482.0,dynamic,100.0,65579.0,289720754788.0,0.0,68.0,65579.0,0.0,0.0,0.0,136.0,254162353.0,39891638688.0,5102248.0,0.0,5102248.0,177072170.0
2022-03-12,"MRBTS-5102,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15483.0,dynamic,100.0,66770.0,108984946.0,0.0,0.0,66770.0,0.0,0.0,0.0,0.0,1495859.0,6634309.0,5195090.0,0.0,5195090.0,6504.0
2022-03-12,"MRBTS-5079,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15484.0,dynamic,100.0,66756.0,109121766.0,0.0,0.0,66756.0,0.0,0.0,0.0,0.0,1498166.0,12715624.0,5193694.0,0.0,5193694.0,11253.0
2022-03-12,"MRBTS-5084,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15485.0,dynamic,95.83333333333333,64016.0,263283251668.0,0.0,20312.0,64016.0,0.0,0.0,0.0,40624.0,221458716.0,32924759491.0,4980750.0,0.0,4980750.0,140490399.0
2022-03-12,"MRBTS-5023,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15458.0,dynamic,100.0,67041.0,109059988.0,0.0,6.0,67041.0,0.0,0.0,0.0,6.0,1495871.0,13964462.0,5215804.0,0.0,5215804.0,14793.0
2022-03-12,"MRBTS-5085,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15459.0,dynamic,100.0,66750.0,31956723598.0,0.0,0.0,66750.0,0.0,0.0,0.0,0.0,27211348.0,4609661595.0,5193168.0,0.0,5193168.0,16838401.0
2022-03-12,"MRBTS-5091,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15460.0,dynamic,100.0,66803.0,69460792964.0,0.0,1.0,66803.0,0.0,0.0,0.0,2.0,59555674.0,10545732753.0,5197178.0,0.0,5197178.0,40713849.0
2022-03-12,"MRBTS-5102,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15461.0,dynamic,100.0,66783.0,749186334.0,0.0,0.0,66783.0,0.0,0.0,0.0,0.0,8181973.0,257894552.0,5195762.0,0.0,5195762.0,4282336.0
2022-03-12,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15462.0,dynamic,93.05555555555556,61948.0,421290255742.0,0.0,5849.0,61948.0,0.0,0.0,0.0,11698.0,380790087.0,67057837774.0,4819634.0,0.0,4819634.0,275416492.0
