begintime,sk_object,duration,M8033C0,M8033C5,M8033C1,M8033C2,M8033C3,M8033C4,M8033C6,M8033C7,M8033C8
2022-03-11 01:00:00,21357.0,15,73.0,164.0,0.0,58.0,0.0,0.0,0.0,10.0,0.0
2022-03-13 02:45:00,21388.0,15,14.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 14:30:00,21366.0,15,122.0,5.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0
2022-03-13 13:45:00,21319.0,15,29.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2022-03-12 07:15:00,21356.0,15,139.0,10.0,0.0,6.0,0.0,0.0,0.0,17.0,0.0
2022-03-11 23:15:00,21316.0,15,115.0,72.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0
2022-03-11 15:00:00,21337.0,15,243.0,3.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0
2022-03-12 00:30:00,21334.0,15,24.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 14:00:00,21359.0,15,39.0,1.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0
2022-03-13 17:00:00,21394.0,15,280.0,2.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0
2022-03-11 13:45:00,21329.0,15,45.0,5.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0
2022-03-12 23:30:00,21311.0,15,4.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
2022-03-11 19:45:00,21379.0,15,668.0,24.0,0.0,30.0,0.0,0.0,0.0,20.0,0.0
2022-03-12 23:30:00,21352.0,15,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 05:15:00,21355.0,15,15.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-11 22:00:00,21313.0,15,150.0,9.0,0.0,9.0,0.0,0.0,0.0,10.0,0.0
2022-03-11 13:30:00,21369.0,15,232.0,19.0,0.0,14.0,0.0,0.0,0.0,21.0,0.0
2022-03-13 17:30:00,21342.0,15,49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 08:00:00,21377.0,15,71.0,2.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0
2022-03-14 04:30:00,21363.0,15,100.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-13 05:45:00,21321.0,15,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 11:00:00,21382.0,15,60.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0
2022-03-13 01:30:00,21379.0,15,61.0,16.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 18:45:00,21371.0,15,931.0,56.0,0.0,67.0,0.0,0.0,0.0,89.0,0.0
2022-03-11 09:00:00,21351.0,15,532.0,3.0,0.0,14.0,0.0,0.0,0.0,23.0,0.0
2022-03-11 07:45:00,21358.0,15,86.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 15:45:00,21344.0,15,160.0,17.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0
2022-03-11 01:30:00,21386.0,15,22.0,2.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0
2022-03-12 21:15:00,21317.0,15,1046.0,49.0,0.0,67.0,0.0,0.0,0.0,34.0,0.0
2022-03-12 08:15:00,21305.0,15,185.0,2.0,0.0,8.0,0.0,0.0,0.0,22.0,0.0
2022-03-11 21:00:00,21394.0,15,282.0,7.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0
2022-03-12 06:45:00,21316.0,15,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 21:30:00,21361.0,15,413.0,1.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0
2022-03-11 20:45:00,21305.0,15,168.0,12.0,0.0,21.0,0.0,0.0,0.0,39.0,0.0
2022-03-11 23:30:00,21397.0,15,147.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0
2022-03-13 13:45:00,21320.0,15,24.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
2022-03-13 04:30:00,21393.0,15,46.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 14:15:00,21347.0,15,260.0,11.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0
2022-03-11 07:15:00,21329.0,15,96.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
2022-03-13 12:45:00,21348.0,15,87.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 06:00:00,21384.0,15,17.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
2022-03-11 01:30:00,21368.0,15,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 08:30:00,21389.0,15,136.0,4.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0
2022-03-11 23:15:00,21387.0,15,34.0,34.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 02:00:00,21371.0,15,306.0,108.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0
2022-03-13 14:15:00,21338.0,15,71.0,4.0,0.0,10.0,0.0,0.0,0.0,8.0,0.0
2022-03-12 19:15:00,21310.0,15,378.0,5.0,0.0,4.0,0.0,0.0,0.0,24.0,0.0
2022-03-13 18:00:00,21363.0,15,207.0,8.0,0.0,13.0,0.0,0.0,0.0,27.0,0.0
2022-03-13 13:15:00,21358.0,15,118.0,5.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
2022-03-11 07:15:00,21352.0,15,4.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 18:00:00,21346.0,15,24.0,84.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 18:00:00,21366.0,15,157.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
2022-03-12 06:30:00,21371.0,15,220.0,227.0,0.0,31.0,0.0,0.0,0.0,6.0,0.0
2022-03-11 17:00:00,21340.0,15,101.0,3.0,0.0,6.0,0.0,0.0,0.0,23.0,0.0
2022-03-13 12:15:00,21353.0,15,94.0,12.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
2022-03-11 09:00:00,21365.0,15,16.0,167.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 11:00:00,21354.0,15,120.0,3.0,0.0,7.0,0.0,0.0,0.0,22.0,0.0
2022-03-11 15:30:00,21389.0,15,96.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0
2022-03-14 03:30:00,21350.0,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 16:30:00,21392.0,15,155.0,26.0,0.0,47.0,0.0,0.0,0.0,12.0,0.0
2022-03-13 11:45:00,21324.0,15,120.0,80.0,0.0,54.0,0.0,0.0,0.0,7.0,0.0
2022-03-11 09:45:00,21381.0,15,103.0,20.0,0.0,18.0,0.0,0.0,0.0,16.0,0.0
2022-03-12 01:00:00,21310.0,15,44.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2022-03-12 04:45:00,21338.0,15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 19:45:00,21370.0,15,210.0,200.0,0.0,164.0,0.0,0.0,0.0,23.0,0.0
