NE Name,fdn,BTSID,CABINETDESC,CN,IDTYPE,MOIndex,SRANMODE,TYPE,className,name,neID
FTBSC02,"NE=280,BTSCABINET=207_0",207,-,0,BYID,26_207_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=207, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=203_0",203,-,0,BYID,26_203_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=203, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=216_0",216,-,0,BYID,26_216_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=216, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=223_0",223,-,0,BYID,26_223_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=223, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=283_0",283,-,0,BYID,26_283_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=283, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=301_0",301,-,0,BYID,26_301_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=301, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=51_0",51,-,0,BYID,26_51_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=51, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=80_0",80,-,0,BYID,26_80_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=80, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=72_0",72,-,0,BYID,26_72_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=72, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=55_0",55,-,0,BYID,26_55_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=55, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=56_0",56,-,0,BYID,26_56_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=56, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=66_0",66,-,0,BYID,26_66_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=66, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=64_0",64,-,0,BYID,26_64_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=64, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=60_0",60,-,0,BYID,26_60_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=60, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=115_0",115,-,0,BYID,26_115_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=115, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=120_0",120,-,0,BYID,26_120_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=120, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=121_0",121,-,0,BYID,26_121_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=121, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=122_0",122,-,0,BYID,26_122_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=122, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=122_1",122,-,1,BYID,26_122_1,SUPPORT,RFC-6,BSC6900GSMBTSCABINET,"BTS Index=122, Cabinet No.=1",26
FTBSC02,"NE=280,BTSCABINET=196_0",196,-,0,BYID,26_196_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=196, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=89_0",89,-,0,BYID,26_89_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=89, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=92_0",92,-,0,BYID,26_92_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=92, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=202_0",202,-,0,BYID,26_202_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=202, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=201_0",201,-,0,BYID,26_201_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=201, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=220_0",220,-,0,BYID,26_220_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=220, Cabinet No.=0",26
